"idno","gender","age","income_decile","income_feel","ppl_take_advantage","ppl_mostly_helpful","trust_legal","trust_police","trust_politicians","trust_ep","trust_un","trust_polparties","trust_parliament","satisfied_government","satisfied_democracy","satisfied_economy"
17652,2,36,8,1,9,8,7,6,5,6,6,4,5,4,7,6
17755,1,49,6,1,8,6,9,9,7,NA,9,7,8,5,7,8
17801,1,75,NA,2,5,7,8,8,8,8,8,8,8,7,8,NA
17903,1,32,8,1,7,4,8,8,3,5,6,3,5,7,5,7
17938,1,63,2,3,6,8,7,5,4,5,7,8,6,4,5,3
17950,1,22,6,3,5,7,8,6,3,5,7,5,6,4,3,6
18035,1,60,5,1,9,6,9,9,5,5,5,6,8,3,8,9
18090,2,61,8,1,6,5,4,4,3,2,6,3,4,6,5,7
18193,1,66,1,3,6,7,0,2,0,0,3,0,0,0,2,0
18231,2,53,3,3,5,5,5,8,0,2,2,0,1,1,7,2
18377,1,57,4,1,4,4,8,5,5,NA,5,6,8,6,9,7
18395,2,23,5,2,4,2,6,8,3,5,6,3,3,3,4,4
18491,2,67,5,1,8,5,2,3,2,NA,3,2,3,3,6,3
18628,2,54,2,1,7,6,5,6,3,5,6,3,4,6,3,5
18671,2,22,2,2,5,5,3,3,5,5,7,3,5,5,7,5
18694,2,63,6,1,6,5,9,9,6,NA,7,6,8,4,7,7
18695,2,38,1,2,NA,7,8,8,7,10,NA,8,9,6,10,5
18697,1,58,NA,2,10,10,6,6,5,7,10,5,5,5,5,8
18712,1,53,4,2,2,4,9,3,4,4,5,6,6,4,5,5
18852,2,24,6,1,7,6,7,8,6,7,9,6,7,5,5,7
18868,1,35,3,1,8,7,5,4,3,2,4,4,1,2,5,7
18898,2,50,7,2,3,7,6,6,2,3,7,4,3,7,7,7
18925,1,37,3,2,8,4,8,7,7,9,8,7,8,6,9,9
18953,1,81,6,1,7,8,5,8,2,6,3,9,3,9,6,9
18968,1,21,7,2,8,6,10,10,7,10,6,7,10,7,10,9
19126,1,68,4,1,8,5,8,8,6,6,7,7,8,9,9,9
19139,1,23,9,2,9,5,10,10,5,NA,8,5,9,5,10,7
19172,1,56,8,1,5,5,5,5,5,5,5,4,5,3,7,3
19182,2,19,2,2,5,5,10,10,9,10,10,10,10,10,10,8
19196,1,31,1,2,7,8,8,6,0,8,6,6,5,2,2,2
19200,2,55,2,3,7,7,9,9,7,5,9,6,8,3,7,4
19223,2,90,3,1,10,8,7,7,5,6,7,4,4,5,7,7
19333,1,34,5,1,8,5,8,8,6,7,9,5,9,7,9,9
19343,1,66,7,1,5,6,9,5,3,7,4,4,8,6,9,9
19370,2,37,3,1,8,6,8,8,5,NA,8,5,6,6,7,7
19371,2,27,7,1,8,8,7,8,5,5,5,5,5,1,5,7
19398,1,51,4,1,9,8,9,9,4,4,6,4,5,4,10,9
19428,2,26,6,1,8,6,9,9,7,7,7,7,9,4,9,7
19437,1,60,4,2,7,7,6,6,6,6,9,7,7,5,9,8
19480,2,33,NA,2,8,7,8,10,5,NA,10,5,10,4,10,7
19483,2,60,10,1,6,4,6,7,2,2,4,2,5,0,2,4
19625,2,27,4,3,3,4,3,6,4,3,5,4,4,4,5,2
19630,2,NA,2,1,5,6,9,9,5,NA,7,7,8,6,8,9
19642,2,23,1,1,6,6,7,7,6,6,7,6,7,7,7,7
19660,2,63,10,1,7,7,8,9,5,6,8,5,6,6,8,9
19704,2,17,6,2,6,5,9,8,7,6,9,7,9,6,10,9
19799,2,29,3,1,8,5,9,8,7,6,7,7,7,6,9,7
19832,2,60,3,3,8,5,10,10,5,3,7,7,8,6,8,8
19856,2,90,NA,2,10,10,9,10,8,NA,10,5,9,5,9,9
19995,2,41,2,NA,NA,10,NA,NA,NA,7,NA,8,10,8,6,8
20022,2,28,2,1,6,5,10,10,7,NA,7,7,7,3,9,8
20070,1,33,7,2,5,3,4,7,4,6,7,4,4,4,7,6
20119,2,36,2,2,7,5,6,6,4,5,5,4,6,5,6,5
20164,2,41,5,1,5,4,NA,10,7,7,9,7,10,5,7,8
20167,2,35,6,2,6,5,8,7,5,2,6,5,6,1,8,6
20369,1,49,5,2,9,6,9,8,8,8,9,8,8,3,8,7
20461,1,62,5,2,8,4,7,7,4,4,4,4,5,5,5,7
20466,1,26,2,2,9,5,10,10,9,5,10,9,10,7,10,5
20548,1,78,4,1,6,8,8,8,7,6,6,5,9,8,8,8
20556,1,59,5,2,7,8,9,10,8,6,5,7,10,7,10,8
20698,1,72,3,1,7,7,6,8,6,8,8,7,3,3,8,6
20741,1,58,7,1,7,7,7,7,5,6,6,5,5,5,6,7
20811,1,28,2,1,8,8,8,10,7,NA,8,7,8,7,8,8
20855,1,33,5,3,8,3,8,7,6,5,8,6,8,7,8,8
20887,1,62,9,1,7,7,6,5,5,5,6,5,7,6,8,8
21071,1,74,4,1,7,8,9,8,4,3,5,4,6,6,8,8
21178,2,47,3,2,5,7,4,5,2,3,3,2,4,6,6,7
21223,2,30,3,2,4,8,7,9,8,7,7,5,6,7,8,9
21356,1,33,7,2,5,5,6,6,3,5,7,5,7,7,9,8
21379,2,41,4,2,8,7,9,8,7,7,8,7,8,8,8,8
21427,2,41,2,2,10,7,9,9,3,5,8,6,8,6,9,6
21593,1,16,8,1,6,5,6,8,5,7,5,5,7,5,7,7
21646,2,75,2,1,10,6,5,6,2,5,6,5,5,1,7,7
21703,1,30,3,1,7,5,4,4,5,5,5,5,6,6,7,8
21748,1,23,1,3,8,3,7,10,7,7,9,6,7,7,7,7
21778,2,41,6,1,7,6,10,9,6,5,5,6,8,3,8,9
21816,2,51,8,2,8,7,8,8,6,5,6,6,7,3,8,7
21826,1,16,9,1,7,5,NA,8,6,NA,7,7,6,6,7,8
21831,1,33,10,1,7,5,9,8,7,7,7,7,7,7,8,9
21900,1,39,7,2,9,6,8,8,7,6,6,7,9,5,9,9
21926,2,68,5,1,8,6,8,6,4,5,8,4,7,4,9,10
21966,1,74,3,2,7,4,9,9,7,4,7,6,7,5,7,3
21984,1,44,5,1,8,7,5,5,0,0,5,0,0,0,5,4
22227,1,52,2,1,8,6,8,8,5,5,8,5,7,1,3,9
22258,1,42,10,1,6,4,8,8,6,5,7,6,5,5,6,7
22279,2,43,3,2,9,9,7,7,2,5,7,2,8,4,7,5
22350,1,70,1,3,5,7,3,4,1,0,6,1,3,3,2,6
22507,1,20,9,1,8,5,7,6,6,9,9,7,7,7,9,9
22532,1,67,1,3,5,9,9,9,6,1,6,7,7,0,7,3
22587,2,68,7,2,10,7,8,7,4,5,8,4,5,5,6,8
22649,2,71,5,1,7,8,8,7,6,7,8,6,6,4,7,7
22810,2,72,4,1,5,5,5,5,5,4,5,5,6,6,7,9
22910,1,60,5,1,7,5,7,6,6,4,5,6,7,6,8,8
23003,1,27,2,2,3,1,1,1,1,1,0,1,1,5,1,5
23010,1,43,4,1,8,7,10,10,3,5,6,3,6,0,2,7
23027,1,16,NA,1,8,8,8,9,8,NA,9,8,9,7,8,7
23045,1,37,6,1,8,7,8,9,4,6,4,5,7,3,8,10
23054,2,32,3,1,6,6,5,6,4,4,4,4,4,6,8,8
23062,1,71,5,1,7,7,7,9,6,5,2,6,7,6,6,7
23080,1,22,NA,2,7,4,9,9,5,5,6,5,10,7,8,2
23232,1,40,2,3,8,3,7,5,5,6,6,5,6,5,8,7
23343,1,25,2,3,5,4,4,0,0,0,4,3,0,0,2,5
23470,2,30,5,1,8,5,7,7,5,6,5,6,6,5,7,7
23477,2,43,9,1,8,7,9,9,6,5,7,6,8,5,7,7
23519,2,69,3,2,5,4,9,6,5,5,5,5,7,0,8,8
23638,1,26,6,2,6,5,5,8,2,5,7,2,3,3,7,8
23654,2,71,2,1,6,7,7,7,3,4,7,4,4,4,6,5
23671,2,19,NA,2,8,6,10,10,9,10,10,9,10,7,9,8
23691,1,35,8,1,6,5,7,5,4,5,4,4,7,2,7,8
23790,1,56,7,3,7,5,7,7,4,0,3,2,5,5,8,7
23808,1,31,8,1,7,6,7,6,4,8,8,4,7,5,8,8
23860,2,57,2,3,8,7,8,8,7,7,8,7,7,7,7,5
23892,1,NA,9,1,7,7,10,10,7,8,10,6,9,8,10,9
23907,1,62,9,1,7,8,10,6,6,7,7,7,9,3,9,8
23921,2,35,9,1,6,4,6,7,4,5,6,4,5,1,4,4
23964,2,48,10,1,8,6,10,10,5,NA,4,6,10,3,8,8
23978,1,58,NA,2,5,7,3,5,1,5,5,3,3,2,1,5
24008,1,47,9,2,3,2,1,0,0,1,3,1,1,1,3,3
24039,1,64,3,1,8,2,8,9,8,5,7,8,10,9,10,8
24074,1,63,3,1,6,7,7,7,5,3,3,5,7,7,9,9
24076,2,75,4,1,8,7,8,7,7,7,7,7,8,7,8,7
24145,1,39,6,1,8,7,9,9,6,6,8,6,7,7,7,8
24237,1,28,10,1,4,8,3,3,0,NA,5,0,0,0,0,3
24268,1,69,3,1,9,8,10,10,7,5,8,7,10,4,8,6
24307,2,18,NA,1,5,6,8,9,7,7,9,5,7,7,9,8
24593,2,79,4,1,9,8,7,10,7,7,9,7,8,8,8,8
24607,2,62,1,3,8,5,7,7,4,5,6,3,5,1,4,5
24635,2,52,4,1,9,9,10,9,8,7,8,6,6,5,9,10
24636,2,71,8,1,7,8,10,9,8,8,8,8,10,10,9,10
24838,1,44,2,2,8,7,7,7,6,6,7,6,7,5,8,6
24856,1,46,9,1,8,4,8,8,5,5,8,6,8,7,8,9
24878,1,71,5,2,8,8,9,8,6,NA,7,6,8,9,8,8
24892,2,48,6,1,9,8,6,6,5,8,7,5,8,6,6,7
24896,2,16,NA,1,7,7,7,6,5,6,7,5,7,6,9,8
24937,1,64,7,2,9,9,8,9,7,5,4,6,6,6,8,8
25108,1,43,10,1,5,7,2,0,6,NA,7,5,6,7,NA,3
25150,2,51,3,1,9,6,8,9,7,7,7,7,7,4,4,8
25209,1,60,5,2,7,7,8,8,6,5,6,5,7,6,7,8
25359,1,50,4,1,7,8,8,9,6,7,4,6,7,6,8,8
25383,1,44,2,4,7,7,2,1,1,NA,5,1,2,1,3,3
25445,2,23,4,1,8,6,9,9,7,6,6,6,8,6,9,7
25469,1,NA,5,3,7,7,7,7,5,NA,1,6,6,6,8,9
25515,1,67,6,1,7,8,10,9,7,6,8,7,9,6,8,7
25528,1,35,5,2,5,4,7,6,3,0,10,8,8,9,9,9
25561,1,19,7,1,7,7,8,10,5,NA,5,5,5,6,8,8
25613,2,16,NA,1,8,8,9,6,6,NA,7,5,NA,5,9,NA
25617,2,17,NA,1,10,8,9,9,6,NA,8,6,7,2,6,5
25668,1,60,7,1,9,9,10,8,6,5,7,5,10,6,8,10
25719,1,25,6,1,6,7,9,9,7,NA,8,7,7,6,9,8
25762,2,22,NA,1,9,7,9,10,9,6,9,9,9,8,8,8
25843,2,40,5,1,7,5,7,8,6,7,8,8,8,4,9,10
25895,1,36,6,1,9,7,8,7,8,7,9,8,9,2,8,9
25902,1,75,7,1,8,7,8,8,6,5,6,5,8,4,7,7
26035,2,39,6,3,7,5,7,8,4,7,8,5,4,7,5,7
26073,1,54,6,3,4,7,5,8,5,NA,7,5,5,5,4,7
26088,2,63,4,1,7,8,9,9,7,4,8,8,9,2,6,8
26111,1,52,9,2,7,3,8,8,5,1,8,5,7,5,8,7
26138,2,15,4,2,5,5,7,7,6,NA,7,6,7,7,7,8
26165,2,47,8,2,8,7,10,10,6,8,8,5,8,6,7,8
26214,1,35,8,1,8,5,7,7,5,3,8,5,5,5,8,10
26326,2,80,4,1,8,8,7,8,4,3,4,4,6,4,6,8
26334,2,53,6,1,7,5,7,5,5,6,6,5,6,4,7,8
26347,2,49,3,1,7,5,9,10,6,5,10,5,7,3,5,8
26377,2,24,8,3,9,7,8,10,8,8,10,6,10,8,8,7
26452,1,66,1,2,5,5,10,8,5,5,8,5,5,3,8,5
26493,1,55,8,1,8,6,8,7,6,5,7,6,9,1,7,9
26501,1,53,10,1,7,6,9,6,5,8,9,5,8,3,4,8
26528,1,58,9,1,9,6,10,10,8,6,10,8,10,8,9,9
26552,1,35,6,1,8,7,8,7,6,6,7,7,6,3,7,4
26561,2,49,3,1,7,6,8,9,7,7,8,7,8,7,8,7
26645,1,58,9,1,7,7,8,8,6,6,8,6,7,7,7,9
26804,1,77,5,1,8,8,8,6,5,5,5,5,5,5,6,6
26819,1,85,2,1,6,9,7,9,3,NA,7,4,4,1,6,NA
26852,1,22,3,1,6,5,10,10,9,9,10,9,10,9,9,9
26865,1,23,1,2,10,6,8,9,7,NA,8,7,8,8,8,9
26873,1,21,8,1,8,8,9,9,8,8,8,9,9,8,9,8
26877,2,16,7,2,10,10,8,9,7,NA,10,7,5,8,7,9
26882,1,26,3,2,6,7,8,10,5,6,7,7,6,7,8,7
26905,2,48,3,1,7,6,8,8,6,NA,3,7,7,3,8,6
26978,2,34,5,2,1,6,8,10,5,5,7,6,8,4,7,9
26988,2,29,4,2,7,7,3,3,2,3,2,2,2,2,3,4
27015,1,65,8,1,8,9,8,8,7,6,7,7,7,7,8,10
27016,2,25,3,2,7,7,5,6,9,7,6,4,8,6,9,6
27036,1,56,8,1,9,8,8,9,7,4,6,7,8,8,8,8
27175,1,41,7,2,7,5,7,7,4,4,6,3,4,5,5,7
27226,2,31,3,2,7,3,8,9,6,4,9,5,8,4,7,4
27245,1,31,3,2,7,8,8,6,5,NA,7,6,6,7,9,8
27313,1,60,3,2,8,8,8,8,5,5,6,6,7,6,8,8
27444,1,35,3,3,6,2,10,9,4,7,4,4,9,6,9,4
27480,1,47,6,2,6,6,8,8,6,NA,8,5,7,6,7,8
27579,2,29,6,1,8,6,6,4,6,2,6,6,7,3,7,9
27585,1,29,4,1,8,8,10,10,7,8,8,5,9,7,10,8
27620,2,53,2,1,8,5,8,8,7,NA,9,7,7,5,8,7
27701,1,NA,7,1,5,6,9,8,4,NA,6,4,7,8,8,7
27702,1,38,10,1,7,6,8,8,7,5,5,8,8,8,5,8
27931,1,19,1,2,5,4,8,9,5,8,10,4,7,5,7,7
27947,2,NA,5,1,9,7,9,9,7,6,8,7,9,6,9,7
27949,1,34,3,2,10,10,6,10,10,6,10,10,10,7,10,10
28132,2,72,2,2,9,5,10,9,6,7,9,7,8,7,7,8
28177,1,60,5,1,8,5,5,6,7,7,8,4,6,4,6,9
28200,1,46,3,1,8,6,8,10,5,5,10,5,7,6,8,7
28240,1,32,5,1,6,4,7,8,1,2,8,2,2,4,2,9
28293,1,25,NA,1,7,6,8,8,6,NA,NA,6,8,7,7,8
28371,1,33,8,1,8,8,10,10,7,NA,NA,7,7,2,5,8
28427,1,58,7,1,7,5,9,8,6,7,7,6,8,4,6,9
28551,2,55,2,2,2,5,5,5,5,7,5,5,7,7,3,8
28578,1,32,6,3,7,7,7,7,5,2,7,5,6,5,7,9
28635,2,44,7,1,7,7,8,8,6,7,8,6,7,7,8,8
28675,2,80,NA,1,0,9,8,8,6,8,9,6,7,5,6,9
28676,1,17,NA,2,9,9,3,5,5,NA,7,5,4,7,10,5
28678,1,23,8,1,5,7,7,6,5,5,5,6,6,5,8,6
28758,2,71,6,2,7,7,8,8,6,6,7,6,8,8,8,7
28760,1,68,2,2,9,6,7,7,5,2,6,6,4,4,9,8
28770,2,19,9,1,6,5,7,8,6,7,8,6,5,6,8,6
28773,1,40,5,1,8,7,7,7,7,NA,8,6,7,9,8,7
28796,1,66,6,1,5,3,7,7,2,2,5,2,6,3,5,4
28818,1,NA,6,1,8,7,6,4,5,6,8,6,7,8,9,9
28888,1,86,8,1,8,8,8,7,8,7,6,7,8,8,8,8
28926,2,71,4,1,9,8,8,8,7,7,9,7,10,5,9,8
29002,1,56,5,1,7,7,7,7,2,1,5,2,7,7,9,9
29015,2,79,2,2,8,7,7,7,5,2,6,5,5,3,6,8
29016,2,18,4,2,4,6,5,5,4,5,5,5,5,5,5,5
29019,1,43,10,2,7,7,8,9,5,NA,6,5,6,4,6,7
29081,1,18,10,1,8,5,7,9,7,7,9,6,8,8,9,9
29145,2,30,8,1,6,7,6,7,3,5,7,3,4,4,5,7
29151,1,35,6,1,9,7,9,7,6,3,7,7,8,2,8,8
29163,1,44,6,1,9,6,9,9,8,NA,8,7,9,6,7,8
29221,2,33,8,1,8,8,9,9,8,8,9,8,8,7,8,9
29242,1,43,NA,1,8,5,6,7,4,3,5,4,7,7,8,7
29247,2,27,4,2,6,3,10,8,8,NA,10,9,10,7,7,7
29361,2,50,4,2,9,9,8,8,4,3,9,4,6,5,9,10
29445,1,46,8,2,NA,NA,NA,7,7,4,3,8,8,9,8,9
29464,2,66,2,2,8,6,8,10,8,8,9,8,7,8,9,8
29500,1,34,8,1,8,9,10,10,8,9,9,8,9,8,10,9
29573,1,65,5,1,10,8,10,10,9,NA,10,10,10,9,10,10
29588,2,65,7,1,9,5,8,6,6,5,10,5,8,5,8,6
29589,1,74,NA,1,4,6,3,4,0,NA,7,3,3,3,NA,5
29596,2,21,10,1,4,7,8,8,4,NA,6,4,8,7,8,8
29719,1,63,5,1,8,6,8,8,6,5,8,5,6,7,7,9
29721,1,64,10,1,9,5,9,7,7,NA,NA,7,9,7,9,9
29722,1,36,2,3,5,6,8,6,3,NA,8,3,7,4,1,5
29727,1,70,4,1,8,6,9,8,6,NA,5,6,8,5,8,8
29949,2,62,9,2,7,5,8,7,6,6,7,5,8,5,5,5
29956,1,67,2,2,5,5,5,5,1,2,3,1,5,3,4,7
30030,1,66,10,1,6,2,9,6,3,5,8,3,8,5,7,8
30078,2,40,6,1,6,6,8,8,7,6,6,7,8,7,7,7
30086,2,17,NA,2,0,0,3,3,2,3,4,3,3,2,4,4
30113,1,30,9,2,8,7,9,9,6,6,8,6,7,7,8,7
30117,2,47,8,2,2,1,8,5,2,NA,6,8,9,7,10,9
30139,1,75,3,1,8,8,5,6,5,5,6,5,5,7,7,8
30177,1,56,6,1,8,6,8,9,5,5,9,4,8,7,9,9
30367,2,57,2,2,9,5,3,3,3,1,1,3,4,6,5,5
30374,2,17,10,1,3,7,8,8,7,NA,7,7,6,6,10,7
30424,1,52,4,1,10,10,7,10,8,NA,NA,10,8,8,8,10
30541,1,54,9,1,8,4,10,10,9,8,8,8,9,7,8,7
30638,1,40,8,2,5,3,3,2,2,NA,7,2,3,1,3,4
30777,2,44,7,2,9,7,9,9,7,NA,9,7,9,6,8,7
30867,1,55,6,1,6,4,8,8,7,5,7,7,7,5,7,7
30984,2,59,5,1,5,5,5,7,0,3,8,1,2,5,3,5
30988,1,50,4,1,9,8,9,9,3,7,8,3,4,4,9,10
31000,2,26,1,2,9,4,10,10,8,NA,8,8,9,8,8,8
31087,2,62,5,1,8,5,2,1,1,NA,NA,2,2,3,4,3
31094,1,59,8,1,3,6,5,7,4,5,5,3,4,7,6,7
31120,1,77,4,2,9,8,5,7,2,3,3,2,3,3,4,5
31158,2,67,NA,1,8,8,9,8,6,5,5,5,6,5,9,7
31183,2,24,8,3,5,5,9,10,4,6,8,4,8,4,6,4
31204,2,32,6,1,6,7,7,9,6,NA,8,8,8,4,9,6
31231,2,30,10,1,7,3,10,9,3,7,7,3,7,4,8,8
31340,2,65,NA,1,10,5,9,8,6,5,7,7,7,5,10,8
31393,1,54,10,1,6,5,9,9,5,7,7,4,7,6,8,8
31476,2,47,2,2,8,8,10,10,5,5,5,5,10,10,10,8
31584,2,57,6,3,7,9,8,8,5,8,8,5,8,5,8,5
31604,2,55,2,2,5,7,10,7,7,7,9,8,8,7,10,8
31665,2,54,9,1,7,7,7,8,6,5,8,6,8,7,7,7
31704,1,47,6,1,8,6,9,7,5,8,8,7,7,7,7,9
31768,1,39,6,2,7,2,8,6,4,5,8,5,7,4,9,NA
31789,2,27,2,2,5,5,6,7,2,NA,6,2,3,4,4,5
31805,1,40,3,3,7,7,8,7,7,6,5,7,9,7,9,8
31808,2,19,2,3,1,4,8,8,4,4,5,4,6,6,10,9
31814,2,71,3,1,7,6,4,6,4,4,3,4,4,4,6,9
32030,2,68,7,1,8,6,9,9,5,5,8,8,9,7,9,8
32038,1,57,10,1,4,2,4,10,0,4,7,0,3,7,3,4
32048,2,NA,3,3,5,5,NA,5,3,5,NA,4,5,6,6,6
32231,1,52,8,2,2,1,5,7,3,5,5,5,4,5,7,7
32253,1,42,5,2,10,9,9,9,8,6,9,7,8,5,7,8
32261,2,62,10,1,7,6,9,7,7,7,10,7,9,5,8,9
32342,2,28,5,2,8,8,10,10,5,8,8,7,10,6,10,7
32612,2,54,3,1,10,10,10,10,7,10,10,5,8,8,10,7
32804,1,19,10,1,6,8,10,10,8,8,8,8,10,8,9,8
32902,1,58,4,1,8,9,9,9,8,7,7,8,9,8,10,10
32928,2,15,9,1,8,9,6,6,6,9,9,7,7,7,9,9
32988,1,60,7,1,9,10,10,9,3,6,7,3,7,6,10,10
33019,1,53,NA,1,7,5,9,9,5,NA,5,7,8,8,7,5
33119,1,51,8,1,6,6,8,7,5,7,8,6,9,6,7,8
33126,1,54,10,1,8,8,10,10,8,8,10,8,10,8,10,8
33168,2,53,7,2,7,7,8,6,6,6,7,6,6,5,9,8
33177,2,19,NA,NA,9,6,NA,10,7,NA,8,NA,10,NA,NA,NA
33187,2,27,6,2,8,8,7,8,0,5,8,2,3,3,6,8
33222,2,73,1,1,7,5,0,2,2,5,10,2,2,NA,NA,3
33268,1,55,7,1,7,8,7,9,5,6,8,6,8,7,8,9
33285,1,34,8,1,7,6,7,7,3,3,5,3,4,5,3,7
33431,1,20,3,3,4,2,5,4,2,2,4,5,6,1,5,5
33508,1,25,2,2,5,6,9,10,6,NA,7,4,7,5,7,7
33647,2,47,9,2,9,8,7,9,6,7,7,5,7,6,8,7
33770,2,73,3,2,8,8,8,5,0,NA,5,0,3,3,3,6
33788,1,21,10,1,7,5,7,8,5,8,10,6,5,5,7,6
33856,2,29,8,2,6,3,7,3,3,9,10,3,6,3,3,4
33864,2,70,NA,1,9,10,8,8,6,8,10,8,7,9,10,8
33870,2,35,4,1,5,5,6,6,5,5,7,7,5,4,5,5
34247,1,51,9,1,7,7,9,8,6,6,7,6,7,7,8,9
34294,2,68,5,1,10,9,10,10,8,8,10,8,8,5,10,7
34340,2,66,4,1,7,5,8,10,5,0,0,5,10,8,6,10
34369,1,34,9,1,7,7,7,8,5,6,8,5,6,5,7,8
34391,1,40,3,1,4,4,7,7,3,2,7,4,5,NA,5,NA
34425,1,39,10,1,9,5,9,7,3,3,5,3,5,5,3,7
34429,1,79,7,1,9,10,10,10,8,NA,9,8,8,9,9,10
34470,2,80,2,1,10,9,9,9,7,5,8,5,6,6,5,8
34491,1,53,5,1,5,7,7,9,5,8,9,5,7,6,8,7
34551,1,69,5,1,8,7,7,8,7,6,7,6,8,6,8,8
34590,1,66,9,1,7,7,9,9,8,7,8,8,9,5,9,10
34616,2,42,2,3,6,7,8,8,7,5,8,NA,7,9,9,9
34673,1,61,6,1,5,3,8,7,6,5,5,7,7,8,7,10
34712,1,62,4,1,5,4,8,7,5,5,8,5,7,5,9,9
34779,1,16,9,1,9,8,3,5,0,NA,1,2,2,1,1,6
34842,2,17,NA,2,5,10,5,3,NA,NA,NA,5,NA,5,9,3
34852,1,16,NA,1,7,4,NA,10,9,9,10,10,10,8,8,10
34859,1,22,NA,1,7,5,8,8,6,6,7,6,7,6,6,7
34891,1,39,4,2,4,5,8,8,2,3,3,3,3,3,3,7
34913,2,71,1,3,8,2,8,8,6,5,1,8,8,1,8,2
35080,2,19,2,3,7,7,5,8,2,NA,NA,2,5,4,7,9
35097,1,36,7,1,5,8,10,10,6,5,10,6,10,5,8,6
35148,2,70,8,1,9,7,8,9,7,7,7,7,8,8,9,8
35189,1,68,3,3,4,2,6,4,4,0,2,4,4,0,6,1
35211,2,46,4,2,4,6,5,6,4,NA,6,4,6,5,6,6
35251,1,25,4,2,2,4,6,4,2,5,6,5,6,4,7,8
35263,1,53,3,1,7,7,6,7,4,4,5,4,4,6,6,8
35319,2,NA,2,3,5,7,8,10,5,3,4,3,7,4,4,4
35392,1,51,7,1,7,5,9,7,6,5,7,5,8,6,9,10
35426,1,62,5,1,9,8,4,6,2,1,1,1,0,2,4,8
35440,2,58,8,1,7,7,9,8,7,7,8,8,8,5,9,8
35444,2,49,1,3,7,7,7,8,6,7,7,6,8,6,6,8
35448,2,55,4,1,7,8,5,5,5,4,6,4,6,5,7,7
35508,2,52,4,3,7,7,7,4,4,5,6,4,7,5,5,5
35594,2,21,2,2,5,7,10,8,5,NA,10,5,8,3,5,5
35664,1,45,5,1,7,7,9,8,7,5,7,7,8,5,8,10
35666,1,40,10,1,7,6,8,10,7,7,8,7,8,6,9,8
35698,2,67,4,1,10,8,8,8,5,6,6,5,8,2,5,5
35703,1,41,7,1,8,8,9,9,7,5,7,7,8,9,9,10
35753,2,70,2,1,8,8,8,8,4,NA,8,5,8,4,5,10
35802,1,23,4,2,3,4,6,7,4,2,5,4,3,4,5,5
35804,1,32,7,1,9,8,9,8,6,7,9,7,8,5,8,7
35836,2,29,5,3,5,5,NA,10,3,5,5,3,5,7,7,8
