"imwbcnt","imwbcrm","imdetbs","imdetmr","smegbli","smegbhw","almuslv","gndr","agea","edlvdno","trstplt","lrscale"
5,1,0,6,1,1,3,1,43,3,6,7
6,5,2,5,2,2,1,2,46,6,6,4
5,1,1,2,2,2,2,2,37,9,5,4
5,5,0,0,2,2,1,1,20,3,4,8
9,7,8,4,2,1,3,1,74,3,7,10
10,2,0,0,2,2,2,1,39,10,5,5
6,3,4,5,2,1,3,2,82,3,10,5
5,2,0,0,2,2,2,1,42,12,7,7
7,4,0,0,2,1,2,2,26,3,5,6
7,0,5,6,2,1,4,2,64,3,2,4
5,1,0,0,2,2,3,2,43,5,5,9
5,1,9,9,2,2,4,2,87,3,5,7
8,3,2,3,2,2,1,1,59,5,6,7
5,5,0,2,2,2,1,2,21,5,5,7
5,3,0,2,2,2,1,1,62,3,4,3
6,8,1,0,2,1,2,2,24,5,9,5
3,0,3,2,2,2,3,2,52,5,0,0
5,1,1,5,2,1,2,2,63,6,5,7
5,5,0,10,2,2,3,1,21,5,6,0
5,2,5,7,2,2,2,2,36,10,5,8
7,5,0,0,2,2,1,1,43,6,6,5
5,4,0,2,2,2,2,2,18,3,6,5
5,0,0,1,2,2,4,2,85,3,5,NA
4,7,7,8,2,2,2,1,44,11,6,5
2,1,7,7,2,2,3,1,62,6,4,3
7,5,0,0,2,2,1,1,26,13,6,4
6,4,0,1,2,2,3,1,26,10,6,4
5,3,0,0,2,2,2,1,33,9,7,1
8,3,0,0,2,2,1,2,58,13,5,1
5,2,0,0,2,1,2,2,22,6,6,5
1,0,5,0,2,2,2,2,58,3,2,10
7,3,6,8,2,2,2,2,73,3,4,5
5,3,1,1,2,2,2,2,58,3,7,6
4,1,4,5,2,2,3,1,73,6,6,5
5,4,2,1,2,1,2,1,23,6,2,5
9,4,3,3,2,2,1,1,56,10,8,4
7,6,0,0,2,2,1,2,31,6,7,5
9,5,0,0,2,2,1,2,25,11,5,3
6,4,0,0,2,2,2,2,18,3,7,4
5,2,5,5,2,2,2,1,60,6,6,3
4,2,0,0,2,2,2,1,23,10,6,7
7,5,0,0,2,2,1,1,60,9,7,5
8,5,0,0,2,2,1,1,37,13,8,8
5,5,0,0,2,2,3,2,19,5,5,6
5,4,2,2,2,2,3,2,20,5,4,7
4,3,1,2,2,2,4,1,81,6,2,10
8,7,2,7,2,1,3,1,74,3,8,5
5,3,5,5,2,2,3,2,39,3,8,5
9,2,0,0,2,2,1,2,62,10,6,4
4,3,5,5,2,1,3,2,22,5,6,6
4,7,1,1,2,1,2,2,54,9,4,9
4,9,9,9,2,1,4,2,64,6,5,5
5,3,5,5,2,1,3,1,69,10,5,10
7,4,1,5,2,2,2,2,50,6,5,5
8,6,1,0,2,2,2,2,45,12,7,3
9,6,0,0,2,2,1,1,38,3,5,4
3,0,3,9,2,2,2,2,70,3,5,3
5,0,0,0,2,2,1,1,52,10,6,3
7,5,0,0,2,1,2,2,39,3,4,5
5,7,0,0,2,2,2,2,69,10,6,7
7,4,0,0,2,2,2,2,15,2,7,6
3,1,7,6,2,2,3,1,53,6,3,7
7,3,7,7,2,2,3,2,47,5,5,6
5,3,0,0,2,2,1,1,21,5,0,5
7,3,0,3,2,2,2,1,48,8,5,4
3,1,5,5,2,1,3,1,40,3,5,9
5,8,0,0,2,2,2,1,27,3,8,5
7,2,3,3,2,2,3,1,33,6,4,2
7,6,5,6,2,2,2,1,81,3,6,6
5,2,0,0,2,2,3,2,55,8,6,7
5,3,1,2,2,2,2,2,62,10,7,7
3,1,3,2,2,2,4,1,43,6,6,6
4,7,2,2,2,1,3,2,68,3,5,5
9,5,0,0,2,2,2,2,20,8,7,4
4,2,8,5,2,2,3,1,41,8,6,5
1,0,8,7,2,2,3,2,56,3,6,7
4,3,7,6,2,1,3,1,38,13,8,7
5,1,1,8,2,2,4,1,85,3,4,2
5,3,4,1,2,1,4,2,83,3,5,5
7,4,3,3,2,1,2,2,49,9,7,7
3,2,5,2,2,2,3,2,38,3,4,7
6,4,0,0,2,1,1,2,74,6,3,10
3,1,1,2,2,2,3,1,37,8,7,7
1,1,0,5,2,1,2,1,67,6,4,6
5,2,0,0,2,2,1,1,17,3,6,4
5,2,2,5,2,2,1,1,51,12,6,5
2,0,0,0,2,1,3,2,50,5,5,5
6,0,0,0,2,1,3,1,58,6,3,4
5,3,0,0,2,2,3,2,20,5,3,NA
2,0,2,2,2,2,3,2,64,3,2,5
4,4,5,2,2,2,3,1,17,3,4,7
2,4,0,0,2,1,3,2,25,9,1,2
6,4,2,2,2,2,1,2,60,10,7,4
8,3,0,0,2,2,2,1,33,10,6,5
5,3,0,0,2,2,2,2,75,13,6,2
3,3,10,6,2,2,3,1,71,8,2,6
1,0,0,0,2,2,2,2,66,3,5,5
0,0,0,0,2,2,3,1,25,5,2,6
6,NA,0,0,2,2,1,2,18,3,2,5
6,2,0,3,2,2,3,1,47,5,4,6
1,0,0,8,2,2,2,2,74,3,2,6
6,2,0,0,2,2,2,1,55,6,6,7
2,2,2,2,2,1,3,1,33,5,5,6
6,2,0,2,2,2,2,2,24,7,3,NA
8,2,0,5,2,2,2,2,79,9,6,7
2,0,8,8,1,1,4,1,54,3,5,8
6,3,0,0,2,2,2,1,42,5,6,8
2,2,0,0,2,2,4,2,24,5,3,6
5,7,0,0,2,2,3,1,65,6,4,6
0,0,0,0,2,1,4,2,50,11,3,7
2,0,NA,10,2,2,4,2,91,2,4,NA
NA,NA,NA,NA,2,1,4,1,21,3,NA,6
0,0,2,2,2,1,4,2,47,10,3,7
5,0,2,2,2,2,2,1,66,5,5,3
7,2,0,0,2,2,1,2,33,7,2,1
6,2,1,1,2,2,2,1,46,5,8,7
5,1,5,5,2,1,3,2,58,6,8,8
NA,NA,0,0,2,2,2,1,15,2,8,NA
7,5,2,2,2,2,1,1,51,13,4,8
1,0,0,0,2,2,3,2,67,5,3,6
9,5,0,0,2,2,1,1,46,5,9,5
9,3,0,0,2,2,1,1,25,6,4,2
6,2,0,0,2,2,2,2,17,3,7,8
NA,5,0,0,2,1,2,1,16,3,5,5
6,2,0,0,2,2,2,2,25,7,5,6
7,0,0,0,2,1,2,1,39,10,3,4
8,4,0,1,2,2,1,1,43,7,6,9
3,0,5,3,2,2,3,2,59,10,3,5
5,2,1,8,2,2,2,2,49,12,2,4
6,3,NA,5,2,2,3,2,86,4,8,5
6,5,0,0,2,2,2,2,22,7,8,3
4,2,1,5,2,2,2,1,64,3,3,6
2,4,0,0,2,2,3,2,30,10,2,2
4,1,2,4,2,2,3,1,20,6,6,7
4,7,2,4,2,2,2,2,82,8,5,7
5,3,0,1,2,2,2,2,57,13,7,3
5,3,0,0,2,2,2,2,40,11,6,8
5,1,9,5,2,2,2,1,68,13,5,8
5,0,0,0,2,2,2,2,48,13,5,0
6,4,4,7,2,2,2,1,75,13,7,8
6,4,0,0,2,1,1,2,15,3,7,7
7,3,0,0,2,2,2,1,22,11,7,7
5,3,0,0,2,2,3,2,42,5,1,5
5,4,1,3,2,1,2,2,30,13,6,7
7,3,0,0,2,2,2,2,37,11,7,8
4,2,5,5,2,2,3,2,50,9,3,6
7,1,0,0,2,1,2,1,34,13,5,7
6,4,1,1,2,2,2,1,44,13,8,4
8,3,0,0,2,2,1,2,46,13,5,5
9,4,0,0,2,2,1,2,48,10,7,3
8,1,4,2,2,1,4,2,87,6,5,5
7,3,0,0,2,2,1,2,53,13,7,6
8,4,0,0,2,2,1,2,43,10,6,5
7,4,1,1,2,2,2,1,33,10,7,6
7,1,2,1,2,2,2,1,58,6,6,9
5,3,0,3,2,2,2,1,66,11,6,6
8,6,0,0,2,2,2,1,65,12,6,3
6,8,0,0,2,1,3,1,51,10,6,6
8,6,2,1,2,2,2,2,51,13,8,3
9,7,2,5,2,2,1,1,60,13,3,7
8,3,2,0,2,2,2,2,66,13,5,8
7,3,0,0,2,2,2,2,57,13,6,8
7,3,0,0,2,2,1,1,58,13,7,2
9,5,0,2,2,2,1,1,68,12,8,2
8,7,0,0,2,2,1,2,28,13,6,3
5,5,1,1,2,2,2,1,67,11,4,6
5,0,0,0,2,2,2,1,48,12,5,8
5,1,2,7,2,2,2,2,68,3,4,6
5,5,3,0,2,2,1,2,15,2,9,5
4,2,1,1,2,1,3,2,56,5,6,6
4,4,3,4,2,2,2,1,71,12,7,4
8,4,0,0,2,2,1,2,42,13,6,2
3,1,3,5,2,2,3,1,39,10,6,7
9,5,1,0,2,2,1,1,63,9,6,0
5,3,0,0,2,2,2,2,55,11,7,9
5,2,0,0,2,2,1,1,33,3,0,5
4,3,0,0,2,2,2,1,32,6,4,3
8,3,0,0,2,2,2,2,42,13,6,3
9,3,0,0,2,1,1,1,49,5,6,3
3,0,3,6,2,2,2,1,53,8,6,8
5,0,9,10,2,2,2,2,86,10,5,10
5,3,2,2,2,2,1,2,35,11,5,4
7,2,1,0,2,2,4,1,24,5,1,NA
7,4,3,0,2,2,1,1,16,3,8,7
8,8,0,0,2,2,1,2,50,12,8,4
10,2,0,0,2,2,1,2,54,8,8,3
7,3,2,0,2,2,2,2,60,10,7,4
3,5,0,0,2,2,2,1,23,7,5,4
5,2,NA,5,2,2,3,2,22,6,5,5
7,2,7,7,2,2,3,1,71,8,4,6
5,1,0,0,2,2,2,1,39,5,6,5
9,4,2,6,2,1,2,1,63,10,7,7
6,0,4,5,1,2,2,1,38,12,4,6
7,5,7,8,2,2,2,2,48,10,4,5
3,2,9,10,2,2,2,1,55,6,8,3
5,0,0,0,2,2,2,1,65,9,5,6
5,0,2,5,2,2,1,2,55,6,4,8
5,3,2,2,2,2,2,2,80,6,6,5
5,3,2,3,2,2,2,2,66,12,5,3
4,1,1,8,2,1,4,1,54,5,5,7
4,3,4,5,2,2,3,2,66,3,6,3
6,1,7,8,1,1,3,1,20,6,1,9
5,2,1,5,2,2,3,2,61,6,5,6
4,2,2,5,2,2,2,1,57,6,8,8
0,0,0,0,2,1,4,1,74,3,2,5
4,4,0,0,2,2,2,1,32,10,5,8
4,1,0,1,2,2,3,2,34,10,7,5
2,2,6,7,2,1,3,1,26,6,3,7
5,1,1,1,2,2,3,1,76,6,5,4
9,2,2,5,2,2,2,2,73,9,2,5
5,3,0,0,2,2,2,2,42,9,7,7
5,1,0,0,2,2,2,2,38,13,3,7
6,3,0,2,2,2,2,2,37,13,7,7
6,2,3,5,2,2,3,2,38,8,4,7
5,4,4,4,2,1,3,1,46,5,4,6
9,2,1,3,2,2,3,1,47,6,8,NA
0,0,0,0,2,2,3,1,35,6,0,8
6,3,0,6,2,2,3,1,49,12,6,6
3,3,0,0,1,2,3,1,37,8,4,3
0,0,0,5,2,2,4,1,23,5,0,5
4,3,0,0,2,2,2,1,32,5,2,5
5,1,0,0,2,2,3,2,36,6,6,7
1,1,2,4,2,1,3,1,40,6,6,5
4,3,5,5,2,1,2,1,76,3,3,3
2,2,1,5,2,2,3,2,71,3,5,7
4,3,6,7,2,2,2,1,31,9,5,5
1,0,0,6,2,2,2,2,17,3,3,5
7,3,1,3,2,2,2,2,31,13,6,6
NA,1,0,0,1,1,3,1,37,9,9,7
1,0,8,9,1,1,4,1,22,6,0,6
3,2,4,5,2,1,2,1,39,10,2,8
9,5,0,0,2,1,3,1,49,11,5,5
5,3,2,4,2,2,4,2,57,6,7,6
5,3,0,0,2,2,3,2,21,5,6,3
4,2,2,5,2,2,2,1,33,6,5,7
3,2,1,5,2,2,3,1,44,6,7,6
3,3,1,1,2,2,3,1,18,3,6,7
5,2,0,8,2,2,2,1,75,6,5,5
6,0,8,10,2,2,4,1,34,6,7,10
9,4,0,0,2,2,2,2,57,13,3,4
5,4,0,4,2,1,2,2,52,3,3,5
1,0,2,2,2,2,3,1,25,5,4,7
6,2,4,3,2,1,2,1,62,3,7,2
7,2,3,1,2,2,2,1,37,6,6,4
4,1,5,9,2,1,3,2,51,5,4,4
3,1,2,8,2,1,3,2,77,11,3,6
8,9,0,0,2,1,2,1,59,6,1,8
6,2,1,5,2,2,3,2,70,3,5,8
8,2,3,1,2,2,2,1,58,13,5,7
5,2,1,8,2,2,1,2,50,12,4,8
10,5,0,0,2,2,2,1,19,5,4,5
6,3,4,1,2,2,2,2,18,3,7,7
4,2,5,5,2,2,2,1,71,8,5,5
10,3,0,0,2,2,1,2,39,10,6,4
9,5,1,1,2,2,2,2,34,12,6,1
5,2,0,0,2,2,1,1,43,11,5,3
7,5,1,0,2,2,2,1,17,3,5,6
8,3,7,10,2,2,2,1,69,6,5,3
5,0,2,1,2,2,1,1,65,8,6,7
4,3,0,0,2,2,1,1,23,3,6,7
5,3,0,0,2,2,2,1,24,5,7,8
7,3,0,0,2,2,2,1,34,13,6,3
5,3,0,0,2,2,2,2,22,8,6,6
10,9,0,0,2,1,1,2,29,10,0,0
5,2,0,0,2,2,2,2,60,6,3,8
7,6,8,8,2,2,3,1,60,3,1,10
6,1,5,5,1,1,3,1,32,6,5,6
4,3,0,0,1,2,1,2,28,12,6,6
6,0,0,0,2,2,2,1,46,6,9,9
5,3,0,0,2,2,2,1,48,6,7,8
8,2,0,0,2,2,1,2,34,13,7,7
9,5,0,0,2,2,1,1,58,12,7,8
4,1,1,3,2,2,2,2,66,10,7,6
8,6,0,0,2,2,2,2,69,9,8,4
8,4,0,0,2,2,2,2,20,5,5,3
10,0,0,0,2,2,1,1,43,13,7,7
10,5,0,0,2,2,1,2,81,9,5,NA
4,3,1,1,2,2,3,2,35,9,2,8
5,2,0,0,2,2,2,2,72,9,8,5
8,7,0,0,2,2,1,2,47,13,5,5
6,2,0,0,2,2,2,2,39,11,5,8
5,5,0,0,2,2,2,1,17,3,8,6
6,3,3,3,2,2,3,1,56,11,4,3
8,7,2,2,2,1,2,1,34,11,8,8
7,3,0,0,2,2,2,2,39,13,6,3
6,4,3,5,2,2,2,2,63,10,7,6
8,3,8,7,2,1,2,2,36,10,7,8
5,0,0,0,1,1,3,1,68,3,0,10
4,2,3,3,2,2,3,2,25,11,5,7
5,3,0,2,2,2,2,2,66,13,6,0
5,5,0,0,2,2,1,2,29,13,6,3
9,7,1,1,2,2,2,2,39,13,7,5
4,NA,0,0,2,NA,2,2,26,10,3,7
2,3,3,3,2,2,3,1,58,12,7,4
9,5,0,0,2,2,1,1,37,13,6,7
4,1,1,0,2,1,3,2,43,10,5,8
5,2,2,2,2,2,3,2,53,9,6,7
5,2,3,3,2,2,2,2,41,10,5,7
7,3,2,1,2,2,2,1,27,13,6,7
5,0,0,0,2,2,2,1,53,9,2,3
7,2,0,0,2,2,2,2,49,10,7,7
5,4,0,0,2,2,1,2,39,10,5,5
5,5,0,0,2,2,1,1,31,13,4,3
7,4,1,1,2,2,2,2,26,10,6,7
5,4,1,0,2,2,2,2,28,13,5,2
7,2,1,0,2,2,1,1,48,13,7,6
5,5,0,2,2,2,1,2,58,13,8,4
7,4,1,1,2,2,1,2,25,5,5,8
6,4,3,1,2,2,1,2,29,10,5,3
10,1,1,9,2,2,4,2,88,4,4,3
5,2,1,1,2,2,1,1,37,13,6,8
10,3,5,0,NA,NA,3,1,40,13,NA,6
5,3,3,3,2,1,1,1,26,13,6,4
4,3,3,3,2,1,2,1,60,11,5,8
8,4,3,3,2,2,2,2,47,10,7,2
5,3,2,2,2,2,2,1,64,13,7,3
7,7,3,3,2,2,2,1,67,9,5,5
5,4,0,1,2,2,2,1,27,11,5,5
8,4,3,2,2,2,1,1,37,13,7,6
1,0,5,2,2,2,3,1,77,8,4,5
7,5,4,4,2,2,1,1,24,9,7,3
8,3,0,0,2,2,2,1,34,5,8,4
6,3,0,1,2,2,2,1,45,13,7,3
10,4,0,0,2,2,1,2,31,10,7,1
5,2,0,0,2,2,1,2,28,13,6,5
9,4,2,0,2,2,1,2,33,13,4,2
8,5,0,0,2,2,1,1,35,11,9,4
5,2,0,0,2,2,2,2,32,13,6,6
5,4,2,0,2,2,2,1,42,10,8,7
8,5,0,0,2,2,2,1,45,13,6,3
7,6,0,0,2,2,1,1,31,9,4,3
8,3,0,0,2,2,2,2,30,10,8,2
5,3,0,0,2,2,2,1,43,13,3,3
2,3,5,5,2,2,3,2,67,8,5,8
9,5,0,0,2,2,3,1,49,13,4,2
5,3,4,5,2,2,2,1,31,11,6,4
8,4,0,0,2,2,1,2,46,12,6,7
5,4,0,5,2,2,1,1,16,3,8,6
4,0,3,3,2,2,2,2,19,5,4,7
6,0,3,0,2,2,2,1,35,12,3,7
7,1,0,0,2,2,2,2,41,13,7,7
5,5,0,0,2,1,1,2,26,11,5,7
5,4,0,2,2,1,2,1,41,9,5,6
5,2,0,0,2,2,2,2,27,10,5,8
5,2,0,0,2,2,2,1,41,10,4,8
6,3,3,10,2,2,4,2,32,5,4,4
9,5,0,0,2,2,1,2,28,3,6,0
3,2,1,2,2,2,3,1,37,10,5,7
7,2,2,0,2,2,1,1,26,10,4,4
7,4,0,0,2,2,2,2,30,3,7,3
7,1,0,0,2,2,1,2,53,13,6,3
5,4,0,0,2,2,1,2,20,5,7,7
8,4,2,2,2,2,2,2,58,9,6,5
10,2,0,0,2,2,1,1,43,5,2,2
10,7,6,4,1,1,3,1,51,12,8,10
5,5,0,0,2,2,2,2,33,9,6,4
2,1,4,3,2,2,2,2,71,3,6,10
4,0,1,1,2,2,3,1,36,5,6,5
5,3,0,0,2,2,1,2,41,10,4,2
8,2,0,0,2,2,2,2,46,5,7,5
5,5,0,0,2,2,1,2,42,13,7,2
6,3,5,10,2,2,2,2,70,9,5,4
7,5,0,0,2,2,2,1,37,13,7,4
8,1,0,0,2,2,2,2,25,6,4,7
5,4,2,0,2,2,2,1,52,6,7,5
5,5,0,0,2,2,2,1,45,10,5,4
5,3,0,0,2,2,3,2,33,NA,6,5
6,2,5,5,2,1,2,1,67,3,7,3
5,2,0,0,2,2,2,2,44,10,6,3
5,3,5,5,2,1,1,2,71,10,6,5
3,1,3,4,2,2,4,2,60,6,3,5
9,5,1,1,2,2,1,2,60,10,8,2
4,2,2,2,2,2,2,1,28,5,4,8
5,1,0,0,2,2,2,1,67,13,5,8
10,10,0,0,2,2,2,1,49,13,10,5
6,3,3,3,2,2,1,1,76,12,6,4
5,1,1,1,2,2,1,2,66,10,4,7
4,0,3,3,2,2,3,1,59,12,5,7
5,5,3,3,2,2,2,2,58,9,6,5
6,5,0,0,2,2,1,1,22,5,2,6
9,1,3,5,2,2,2,2,83,7,7,8
5,2,0,0,2,2,1,1,23,5,6,3
5,4,0,0,2,2,2,2,27,8,6,4
2,7,2,3,2,2,2,2,56,3,5,4
8,3,3,3,2,2,2,2,28,13,8,3
9,5,0,0,2,2,1,1,36,13,6,2
6,1,1,3,2,2,2,2,61,4,6,3
5,3,2,4,2,2,2,2,67,10,7,3
6,0,1,0,2,2,1,1,19,5,8,7
3,3,5,7,2,1,3,2,67,3,5,5
7,8,0,0,2,2,1,1,65,5,9,5
1,8,2,3,2,2,3,2,52,10,1,8
4,4,0,3,2,2,2,2,80,8,7,7
6,8,4,0,2,2,4,1,53,6,6,5
5,3,0,0,2,2,1,2,44,10,4,3
NA,3,5,2,2,2,2,1,18,3,5,5
7,4,0,0,2,2,1,2,61,11,6,8
7,5,2,2,2,2,2,2,63,13,5,5
6,4,0,0,2,2,1,2,19,5,4,4
6,8,5,2,2,1,2,1,70,3,5,10
8,5,2,2,2,2,2,1,48,6,3,5
5,3,0,0,2,2,2,1,17,3,5,5
6,6,2,2,2,2,2,1,70,6,6,7
5,4,1,0,2,2,2,1,21,5,6,7
10,5,0,0,2,2,1,1,52,10,7,2
3,1,0,0,2,2,2,1,33,5,3,8
8,4,2,2,2,2,2,1,44,13,5,5
0,5,0,0,2,2,3,2,41,5,7,5
5,3,0,0,2,2,1,1,22,11,7,7
4,1,0,0,2,2,2,2,56,6,4,6
3,2,6,3,2,1,2,2,22,3,5,9
8,2,1,1,2,1,1,2,56,3,8,10
1,1,1,1,2,2,1,1,55,8,4,8
5,7,3,3,2,2,2,1,68,3,6,4
7,4,5,5,2,2,2,2,46,12,5,5
3,1,0,2,2,1,3,2,19,3,5,5
5,8,5,4,2,2,2,2,44,5,7,7
5,0,4,5,2,1,3,2,52,5,4,5
4,3,0,3,2,2,3,1,54,6,6,5
8,1,2,7,2,1,1,1,69,5,6,2
8,4,0,0,2,2,2,1,29,9,6,7
7,5,1,1,2,2,1,1,67,11,8,3
6,5,0,6,2,1,2,2,50,5,3,5
7,6,0,0,2,2,2,2,15,2,8,6
7,3,1,1,2,1,2,1,41,6,7,3
4,2,1,0,2,2,2,2,28,6,3,3
6,3,3,3,2,2,2,1,37,8,5,2
5,3,2,2,2,2,2,2,71,7,4,2
5,3,0,0,2,1,2,2,55,6,6,5
7,2,3,4,2,2,2,1,71,13,3,4
5,8,0,0,2,2,1,2,41,6,5,4
6,2,5,3,2,2,3,2,51,10,2,4
5,3,0,0,2,1,2,1,71,10,5,0
4,0,4,9,2,2,3,1,55,6,5,6
8,3,5,7,1,2,3,1,55,9,5,7
7,5,0,0,2,2,1,2,23,5,7,6
9,5,0,0,2,2,1,1,64,9,4,3
3,2,4,8,1,2,3,2,53,6,4,7
3,2,2,2,2,2,2,1,47,9,6,4
5,2,0,0,2,2,2,2,43,12,6,4
5,2,4,4,2,2,2,1,41,10,7,5
NA,5,3,3,2,2,4,1,49,6,1,5
5,2,3,3,2,1,2,1,40,6,2,5
5,7,0,5,2,2,3,2,58,5,4,4
3,2,5,7,2,1,3,2,23,6,1,5
0,0,5,8,2,2,4,1,22,6,5,4
NA,4,3,3,2,2,3,2,90,2,3,5
4,2,2,0,2,2,3,1,35,6,4,5
5,9,1,10,2,1,2,1,48,6,6,4
5,8,0,0,2,2,2,2,52,6,6,4
