"imwbcnt","imwbcrm","imdetbs","imdetmr","smegbli","smegbhw","almuslv","gndr","agea","edlvdno","trstplt","lrscale"
1,2,5,3,2,2,4,2,59,3,0,1
8,5,0,0,2,2,1,2,20,3,6,2
5,5,0,0,2,2,1,1,20,5,5,3
5,2,2,2,2,2,2,2,47,12,7,7
2,2,2,3,2,2,3,1,27,5,6,8
7,4,4,4,2,2,2,1,70,9,6,7
5,2,2,3,2,2,3,2,73,3,5,3
6,3,2,0,2,2,2,2,61,10,5,3
3,3,7,7,2,2,2,2,66,5,2,4
6,8,3,3,2,2,2,1,53,8,6,6
3,2,3,4,2,2,2,1,51,8,4,7
5,0,2,4,2,2,2,2,63,6,7,8
5,0,4,3,2,2,2,1,65,3,4,5
4,3,1,4,2,2,2,2,68,6,3,6
5,2,2,1,2,2,2,1,46,13,8,4
4,2,4,2,2,2,3,1,31,6,4,6
8,4,3,2,2,2,1,2,53,3,5,4
8,3,2,2,2,2,2,2,20,5,6,6
5,6,1,1,2,2,2,1,53,3,5,10
3,2,7,3,2,2,3,1,80,5,8,8
6,6,0,0,2,2,1,1,56,13,6,4
8,3,0,2,2,2,1,2,52,10,8,4
5,1,0,8,2,2,2,2,65,3,4,7
5,0,5,4,2,1,3,2,29,5,4,8
8,3,0,0,2,2,2,2,20,7,6,7
4,1,0,0,2,2,3,1,17,3,7,5
5,2,2,4,2,2,1,2,46,9,7,7
NA,4,2,2,2,2,3,1,61,6,8,7
9,4,4,4,2,2,2,1,63,10,6,4
8,3,5,8,2,1,2,2,62,3,6,5
5,0,0,0,2,1,3,2,38,6,5,1
3,2,2,5,2,2,2,1,73,10,5,9
5,3,3,3,2,1,2,1,63,6,5,5
7,3,5,2,2,2,2,1,15,2,7,8
2,0,2,5,2,2,4,1,44,5,1,10
6,3,0,0,2,2,2,2,18,3,7,8
5,5,0,0,2,2,2,1,23,5,5,7
3,1,5,8,2,2,3,2,60,13,5,8
5,2,7,5,2,1,3,1,54,3,3,7
5,0,3,3,2,2,3,1,54,6,5,7
2,3,2,2,2,2,4,1,35,8,4,7
7,5,0,0,2,2,3,2,44,9,2,NA
6,4,0,0,2,1,3,2,17,3,5,3
5,1,NA,4,2,2,4,2,76,3,8,5
7,5,0,0,2,2,2,2,73,6,6,5
5,1,1,0,1,2,3,1,92,2,3,4
3,3,2,2,2,2,2,1,21,6,4,7
5,1,1,0,2,2,2,1,42,6,7,9
4,3,NA,2,2,NA,4,2,95,2,5,NA
7,2,0,0,2,2,2,1,28,6,4,6
6,1,10,10,2,2,4,2,42,6,6,7
4,2,2,0,2,NA,3,2,50,4,7,10
4,2,0,3,2,2,3,1,46,6,2,7
5,4,0,0,2,2,2,1,17,3,7,8
8,9,1,2,2,1,2,1,62,3,0,7
8,4,2,0,2,2,1,2,64,6,4,3
6,3,5,3,2,2,3,2,57,6,5,7
5,3,0,0,2,2,2,2,36,9,7,4
3,3,5,5,2,1,4,2,44,6,2,6
5,3,1,1,2,2,2,1,43,6,7,7
3,2,2,8,2,2,4,1,17,3,4,7
6,6,5,5,2,1,2,1,47,12,6,7
5,3,5,5,2,2,2,1,63,9,1,9
5,4,1,1,2,2,2,1,62,6,5,5
4,1,10,10,2,1,3,1,62,6,5,6
3,1,3,5,2,2,3,2,76,3,5,8
5,3,0,0,2,2,2,2,45,10,3,3
2,0,2,2,2,2,3,1,43,10,5,8
6,3,0,0,2,2,3,2,53,7,4,3
6,8,0,0,2,1,2,1,16,3,10,5
4,1,1,1,2,2,3,2,41,6,2,5
8,2,0,0,2,2,2,1,39,11,6,5
4,1,7,9,2,2,3,1,69,10,6,7
5,5,2,0,2,2,3,1,65,11,4,4
5,7,2,2,2,2,2,2,42,6,3,3
8,3,2,2,2,2,1,2,59,9,8,6
5,NA,1,1,2,2,2,1,17,6,7,3
6,7,3,3,2,1,2,1,73,3,6,5
8,4,0,0,2,2,2,1,34,6,8,8
5,2,0,1,2,1,3,1,15,2,7,9
5,5,0,0,2,2,1,2,49,13,3,5
4,3,5,3,2,1,3,1,46,6,6,8
8,5,0,0,2,1,1,1,75,10,8,8
5,5,4,2,2,2,2,1,45,6,7,6
5,5,2,4,2,2,2,1,69,6,4,6
5,3,5,1,2,2,1,1,22,6,7,2
6,4,0,0,2,2,2,2,23,5,6,4
5,2,5,5,2,2,3,1,62,10,1,5
4,5,0,0,2,2,2,1,38,6,6,4
5,4,2,1,2,2,2,1,40,8,4,7
6,6,6,5,2,2,2,1,45,9,6,6
8,8,0,0,2,2,1,2,45,13,7,1
7,7,2,2,2,1,3,1,58,3,6,1
7,4,0,0,2,2,2,2,63,11,7,0
5,5,0,0,2,2,1,1,60,10,7,4
5,7,2,0,2,2,2,2,47,6,4,3
5,5,5,5,2,2,1,1,43,6,5,5
5,5,2,2,2,2,4,1,45,3,5,5
3,2,5,8,2,2,3,1,45,6,5,5
5,4,2,0,2,2,2,2,39,6,6,5
7,4,0,0,2,1,2,1,17,5,6,5
5,3,1,7,2,2,3,1,71,5,5,8
6,0,6,5,2,2,3,1,50,8,4,9
5,5,0,0,2,2,2,1,55,11,7,5
6,3,3,2,2,2,2,1,60,6,5,4
1,2,0,0,2,1,3,1,87,3,3,5
5,1,2,2,2,2,2,2,42,12,3,3
5,3,0,0,2,2,1,1,18,3,7,4
5,0,0,0,2,2,2,1,49,9,7,6
9,5,0,0,2,1,1,2,46,12,7,3
8,4,0,0,2,2,2,1,52,8,4,7
5,1,5,4,2,1,4,2,90,4,1,NA
3,0,5,6,2,1,3,2,86,10,8,5
8,5,0,0,2,2,2,1,67,13,NA,1
4,5,0,0,2,1,3,1,18,3,0,5
7,8,9,7,NA,NA,NA,2,88,3,5,5
5,0,0,0,2,2,2,2,23,11,8,7
6,3,0,0,2,2,2,1,25,6,6,7
3,1,1,1,2,2,4,2,42,6,5,4
5,4,7,6,2,2,3,2,59,3,6,5
8,4,4,3,2,2,2,1,21,5,5,5
4,3,0,0,2,2,2,1,27,6,7,6
4,4,8,3,2,2,4,1,66,6,7,9
6,2,0,0,2,2,2,2,46,13,7,3
5,1,6,5,2,2,4,1,63,5,3,6
5,2,0,0,2,2,2,2,18,5,7,4
10,7,7,0,2,2,1,1,15,3,8,5
5,4,0,0,2,2,2,2,22,10,5,4
5,2,4,4,2,2,3,1,49,9,5,7
5,3,0,0,2,2,1,1,34,10,2,4
5,5,0,0,2,2,1,1,27,3,6,6
4,0,0,2,2,2,2,2,62,10,7,6
8,5,2,2,2,2,2,1,49,10,7,7
7,4,0,0,2,2,2,2,19,5,4,4
1,1,1,1,2,1,3,1,45,9,3,7
7,1,6,6,2,2,2,1,72,13,8,7
6,2,8,5,2,NA,3,2,89,4,3,7
5,4,2,2,2,2,3,1,23,6,4,6
7,3,5,5,2,2,2,1,57,11,6,5
5,1,3,1,2,1,4,1,32,8,6,7
5,3,1,0,2,2,3,2,75,6,8,8
8,8,0,0,2,2,1,2,22,6,5,7
3,2,3,2,2,2,3,2,63,5,4,4
5,4,0,0,2,2,3,2,20,5,8,8
6,5,6,4,2,2,2,1,52,9,5,8
3,2,0,0,2,2,3,2,20,6,3,5
4,3,0,0,2,2,3,1,38,8,2,7
5,3,8,5,2,1,2,1,68,6,5,2
7,3,0,0,2,2,2,2,49,12,5,6
5,3,5,5,2,2,2,1,43,5,3,5
1,0,0,0,2,2,4,1,37,6,3,8
7,2,1,1,2,2,1,1,60,9,7,2
4,1,2,3,2,1,3,1,16,3,7,8
4,0,0,0,2,2,2,1,45,4,5,10
2,3,1,0,2,2,2,2,20,6,4,5
5,7,0,0,2,2,2,2,51,6,7,5
9,5,0,0,2,2,3,1,34,8,7,6
5,2,0,0,2,2,2,2,17,3,5,5
6,2,2,3,2,2,2,2,84,4,6,9
5,0,2,8,2,2,4,1,63,3,4,7
8,4,1,0,2,2,1,1,55,5,8,3
2,2,9,10,2,2,2,1,82,2,0,9
7,3,0,1,2,2,3,1,63,4,5,3
5,2,5,5,2,2,4,2,29,10,8,6
3,0,0,0,2,2,2,1,47,6,0,5
4,1,3,0,2,2,3,2,38,6,5,7
5,4,7,9,2,2,2,1,66,13,5,8
8,3,0,0,2,2,1,2,21,5,5,6
6,4,3,5,2,1,2,2,44,12,5,6
8,3,0,0,2,2,1,1,15,2,8,5
4,2,0,0,2,NA,4,1,62,6,3,4
5,0,3,3,2,2,3,1,33,12,6,7
5,4,4,0,2,2,3,2,72,10,6,5
6,3,2,0,2,2,2,2,40,11,4,7
3,0,7,4,2,2,3,1,18,3,8,8
NA,2,0,0,2,2,2,2,25,10,8,7
5,4,0,0,2,1,2,2,52,6,4,4
4,9,7,7,2,1,3,1,55,3,4,0
6,8,1,1,2,1,3,2,50,6,7,6
3,3,3,8,2,1,4,1,68,3,5,5
8,4,5,5,2,2,4,1,59,10,NA,5
2,0,5,9,2,2,4,2,83,3,7,5
6,4,2,2,2,2,2,1,53,3,4,5
2,1,1,1,2,1,2,2,31,6,3,3
6,4,0,0,2,2,1,1,50,8,6,2
5,4,0,0,2,2,2,1,56,6,6,3
9,5,0,0,2,2,2,2,53,6,5,4
7,2,0,0,2,2,2,1,31,13,8,3
8,6,0,0,2,2,2,1,55,9,7,4
5,3,0,0,2,2,2,2,38,12,5,5
5,4,0,0,2,2,2,2,55,10,6,3
5,1,0,0,2,2,2,2,64,9,7,5
8,5,0,0,2,2,2,2,74,11,4,2
5,2,0,1,2,2,3,1,23,10,6,5
7,8,0,0,2,2,1,1,36,10,7,4
7,5,0,0,2,2,1,1,40,11,7,3
1,0,0,0,2,2,1,1,25,6,2,6
5,4,3,1,2,2,1,1,76,12,5,3
6,4,0,0,2,2,1,1,62,13,6,3
5,4,0,0,2,2,3,2,22,10,3,4
8,5,2,3,2,2,1,1,60,9,5,2
10,NA,3,0,2,2,2,2,60,6,6,5
NA,5,0,0,2,2,1,2,45,10,3,7
5,2,1,NA,1,1,3,2,71,3,3,5
5,1,1,7,2,2,4,1,84,9,4,2
5,2,0,0,2,2,2,2,58,12,6,3
9,2,0,6,2,1,1,1,30,12,7,5
6,6,0,0,2,2,2,2,35,9,3,NA
1,0,2,6,2,2,4,1,66,8,0,7
8,2,2,3,2,2,2,1,47,13,6,6
9,7,0,0,2,2,2,2,21,9,7,3
7,3,0,0,2,2,2,2,55,10,7,3
6,2,0,5,2,1,2,1,52,9,7,8
9,5,0,0,2,2,1,1,18,3,4,3
3,3,5,2,2,2,2,2,18,3,4,NA
4,2,0,2,2,2,1,2,33,10,7,NA
4,3,5,7,2,1,3,2,49,4,0,NA
5,3,2,2,2,1,3,2,86,5,6,10
5,3,3,3,2,2,2,1,73,13,5,4
7,4,2,2,2,2,1,1,57,8,5,2
5,2,2,2,2,2,1,1,53,9,3,2
5,5,0,0,2,2,2,1,30,13,4,7
8,5,0,0,2,1,2,1,65,5,7,7
6,4,5,4,2,2,3,2,33,13,7,4
5,NA,0,0,2,2,NA,2,65,5,7,NA
5,0,0,0,2,2,2,2,59,12,4,6
5,4,1,1,2,1,2,1,37,10,6,7
8,4,0,0,2,2,2,1,26,13,7,3
5,3,4,4,2,2,3,1,65,11,5,4
4,2,1,2,2,2,2,2,22,5,8,7
1,0,7,9,2,2,4,2,42,5,5,NA
7,4,0,0,2,2,2,2,47,12,7,4
6,4,1,1,2,2,2,1,20,5,6,4
1,0,8,8,1,1,4,1,58,9,6,8
8,5,0,0,2,2,1,2,51,9,3,0
8,1,1,5,2,1,2,1,61,10,6,8
5,3,3,1,2,1,1,1,74,6,4,3
8,4,0,0,2,2,2,2,53,9,6,4
3,2,2,2,2,1,2,2,32,11,7,7
6,3,1,0,2,1,1,1,41,13,6,6
4,1,0,0,2,2,2,1,21,6,6,6
7,5,0,0,2,2,2,2,30,6,4,7
5,3,5,3,2,2,4,2,69,3,4,5
8,2,0,0,2,2,1,2,43,5,4,7
7,5,2,2,2,2,2,1,47,9,8,7
5,0,0,0,2,1,2,2,58,6,4,5
7,1,0,0,2,1,2,2,58,3,5,4
5,10,0,NA,2,2,4,1,95,3,0,4
7,4,1,0,2,2,2,1,36,6,7,4
10,3,0,0,2,2,1,2,39,10,6,4
7,3,5,5,2,2,3,1,57,10,8,4
8,5,2,0,2,2,2,2,60,10,5,3
5,4,5,2,2,2,2,2,16,3,4,4
4,9,8,7,2,2,4,2,57,6,7,6
5,7,1,0,2,2,1,2,66,5,4,6
4,2,4,4,2,2,3,1,52,8,5,4
8,4,0,0,2,1,2,1,30,10,5,3
4,3,5,4,2,2,3,1,72,11,2,8
5,3,2,0,2,1,2,2,65,6,6,6
3,0,1,0,2,2,3,2,32,13,7,5
8,5,0,0,2,2,1,2,44,13,8,2
7,0,1,1,2,2,2,1,32,10,6,6
7,3,0,0,2,2,1,1,32,12,6,7
8,3,0,2,2,2,2,2,53,6,6,3
5,5,3,2,2,2,2,1,24,11,7,3
5,2,1,1,2,2,1,2,70,3,7,2
7,3,2,2,2,2,2,1,78,3,7,7
7,NA,0,0,2,2,1,2,18,3,7,5
0,0,0,0,2,2,4,2,64,3,0,0
4,2,5,10,2,2,4,2,75,3,5,6
7,5,0,0,2,2,1,1,56,6,5,3
3,1,2,7,2,2,3,2,29,6,3,2
5,5,3,2,2,2,4,2,54,6,5,5
8,5,0,0,2,2,1,2,44,10,6,5
8,4,0,0,2,2,2,1,53,6,7,5
5,6,3,3,2,2,2,1,72,8,5,6
4,2,3,1,2,2,3,1,27,5,4,8
8,6,1,1,2,1,2,2,62,6,8,NA
6,7,5,5,2,2,2,1,41,6,7,5
5,7,5,6,2,2,3,1,84,9,7,7
5,4,0,0,2,2,2,1,39,8,6,6
5,4,0,6,2,2,2,2,62,10,5,2
5,4,0,0,2,2,2,1,21,6,5,7
7,5,3,2,2,2,1,2,61,3,7,4
5,3,2,2,2,2,2,1,48,11,6,3
4,1,5,8,2,2,4,1,78,10,6,10
3,0,0,1,2,2,3,1,46,6,6,7
6,2,3,0,2,2,2,1,65,9,6,6
10,3,2,1,2,2,2,1,23,8,6,3
5,3,2,1,2,2,2,2,38,10,5,2
4,3,0,5,2,1,3,1,35,6,4,6
5,0,3,0,2,1,3,1,15,2,5,7
9,5,0,0,2,2,3,1,19,6,1,5
6,2,8,6,2,1,4,1,51,5,0,3
7,4,0,0,1,1,2,1,46,6,6,6
8,5,0,0,2,2,1,2,37,10,6,6
4,2,7,10,2,1,3,1,67,6,3,5
5,3,2,2,2,2,2,1,65,5,6,2
5,3,2,5,2,2,3,1,51,6,5,7
5,1,0,0,2,2,1,2,42,6,6,3
7,6,8,7,2,1,3,2,65,6,4,5
7,3,4,5,2,2,2,1,67,13,6,7
8,4,1,1,2,2,3,1,57,6,7,4
5,2,0,0,2,2,3,2,51,9,6,5
7,7,0,0,2,1,2,1,15,3,9,6
9,5,0,0,2,2,2,2,24,4,9,7
7,3,5,0,2,1,2,1,17,3,6,4
5,3,3,3,2,2,2,1,70,3,6,5
5,5,0,0,2,2,1,1,28,8,2,4
4,2,5,7,2,2,3,2,39,3,2,5
5,3,3,3,2,2,3,1,54,6,6,5
3,3,4,3,2,2,4,2,72,5,6,9
5,3,0,2,2,2,2,1,29,3,7,5
1,1,4,10,2,2,4,2,44,10,6,5
7,3,0,0,2,2,2,1,41,11,8,5
5,3,1,1,2,2,1,1,34,11,6,6
3,0,2,2,2,1,4,2,79,11,3,8
5,1,4,10,2,2,4,1,82,6,5,4
6,3,2,0,2,2,2,2,35,10,8,4
8,5,2,1,2,2,2,1,39,9,6,3
5,2,0,0,2,2,2,1,60,6,5,4
5,4,1,4,2,2,2,2,57,10,4,7
6,3,2,0,2,1,2,1,16,3,6,3
5,1,3,4,2,2,2,2,57,6,6,4
8,3,0,4,2,1,3,1,69,6,6,6
5,2,0,0,2,1,2,2,25,6,3,3
5,3,0,0,2,1,2,2,32,11,6,3
6,4,1,1,2,1,2,2,19,6,9,4
7,5,4,3,2,1,3,2,50,6,6,5
5,5,5,5,2,2,4,1,68,3,5,5
5,3,2,3,2,1,2,1,65,10,5,3
6,4,0,0,2,2,2,1,21,5,5,5
10,0,0,0,2,2,3,1,42,9,4,7
5,5,0,0,2,1,1,2,32,6,5,6
5,1,2,5,2,2,3,2,33,5,6,9
5,5,5,5,2,2,2,1,56,13,5,2
9,3,0,0,2,2,1,1,36,5,4,2
6,4,0,5,2,2,2,2,28,12,7,2
5,3,5,3,2,2,3,2,68,5,8,7
3,0,5,2,2,2,3,2,46,13,5,4
8,2,0,0,2,2,1,1,46,10,4,4
1,0,0,0,2,1,1,2,69,3,7,3
10,5,0,0,2,2,1,2,43,13,5,4
5,2,3,6,2,2,2,1,51,10,5,5
4,3,NA,NA,NA,NA,3,1,73,6,5,5
NA,NA,NA,NA,1,1,NA,2,52,5,10,NA
8,8,0,0,2,2,NA,2,81,3,5,8
5,3,0,0,2,2,1,1,56,7,4,4
8,NA,1,2,2,2,1,1,81,13,NA,6
8,6,0,1,2,2,1,2,22,9,7,7
5,1,0,0,2,NA,3,2,77,6,3,NA
7,5,1,1,2,2,1,2,51,13,7,3
9,7,1,5,2,2,2,1,65,10,6,3
8,7,1,1,2,2,2,1,57,3,8,2
6,2,2,1,2,1,2,2,16,3,3,5
5,2,0,0,2,2,2,1,69,8,2,7
6,4,4,2,2,1,2,2,46,6,6,6
7,6,0,0,2,2,2,1,47,10,6,7
5,1,1,1,2,1,4,1,82,3,5,3
4,1,0,0,2,1,3,1,19,4,4,8
4,3,4,3,2,1,2,2,27,6,6,4
7,3,0,0,2,2,2,2,44,6,6,3
8,5,0,0,2,2,3,1,57,10,7,7
6,5,3,4,2,2,2,2,48,10,7,3
3,2,4,2,2,2,3,2,40,10,5,8
8,7,0,0,2,1,1,1,15,3,5,6
9,5,0,0,2,2,1,2,53,5,7,5
6,1,1,1,2,2,3,1,76,6,7,10
2,1,0,0,2,1,3,2,26,6,2,4
5,4,6,1,2,2,3,1,17,3,5,5
4,4,2,1,2,2,3,2,18,6,2,9
5,1,2,9,2,2,NA,2,78,3,2,4
5,5,0,0,2,2,3,1,51,6,3,5
5,4,3,3,2,1,4,1,70,2,4,5
5,3,0,0,2,1,3,1,51,3,0,5
7,4,2,2,2,2,1,2,58,6,6,3
1,0,1,10,2,2,4,1,69,6,2,10
5,6,6,3,2,2,3,2,70,10,4,6
3,3,5,3,2,2,3,1,16,3,3,4
1,1,8,8,1,2,4,1,34,11,2,7
7,5,3,3,2,2,2,1,68,13,7,1
8,4,0,0,2,2,2,1,53,3,6,1
6,5,1,0,2,2,1,2,44,10,7,4
4,4,5,1,2,1,2,2,31,6,4,NA
2,0,1,5,2,2,3,1,32,5,5,6
4,2,7,8,2,1,2,1,42,3,3,6
4,0,5,2,2,2,3,1,41,6,2,6
7,2,7,4,2,2,4,2,51,9,5,3
3,3,2,2,2,1,2,2,49,6,5,6
6,2,0,0,2,2,2,1,54,5,6,2
5,4,2,0,2,2,2,2,25,10,5,5
2,8,0,0,2,1,4,2,39,6,1,6
5,7,3,0,2,2,2,1,19,6,5,3
1,1,0,0,2,1,2,2,65,5,2,2
6,5,2,3,2,1,2,1,52,9,6,4
2,0,0,5,2,2,2,2,67,4,4,5
5,5,0,0,2,2,2,1,20,6,6,5
5,1,2,3,2,1,4,2,69,3,2,2
8,3,0,0,2,2,2,1,18,3,7,3
3,2,8,6,2,1,3,1,61,6,5,7
5,4,0,0,2,2,2,1,17,3,5,5
7,4,2,2,2,2,2,1,25,3,5,2
6,4,0,0,2,2,2,2,55,9,7,7
6,4,0,0,2,2,1,2,21,5,6,4
2,2,0,0,2,2,4,1,36,3,3,3
6,3,2,1,2,2,2,2,56,6,5,3
5,7,6,4,2,2,4,2,51,6,5,6
5,1,5,0,2,1,4,2,80,3,3,6
5,5,0,1,2,2,3,2,63,3,5,5
6,6,2,0,2,2,2,2,19,5,5,4
4,2,3,7,2,NA,3,1,81,9,1,7
0,0,2,0,2,1,4,1,63,6,0,5
5,4,5,2,2,2,2,2,28,13,6,2
8,4,4,3,2,2,3,1,55,6,6,3
6,5,3,1,2,2,2,2,48,10,4,6
0,0,10,10,1,2,4,1,55,6,1,10
6,4,3,1,2,1,2,2,40,9,4,4
9,2,1,1,2,1,2,1,52,13,5,NA
7,5,0,0,2,2,2,2,67,8,6,1
5,4,5,4,2,1,4,2,67,8,5,4
NA,4,6,5,2,2,4,2,61,13,6,NA
6,2,6,6,2,2,2,2,54,10,5,7
3,2,1,1,2,2,3,1,51,9,4,6
8,3,0,0,2,2,1,2,20,5,8,2
6,3,6,5,2,2,2,1,68,5,5,5
6,5,0,0,2,1,2,1,15,2,7,5
5,2,0,0,2,2,3,2,21,8,4,5
4,5,6,8,2,2,4,2,68,3,4,5
5,5,5,6,2,2,2,1,38,6,5,6
8,7,0,0,2,2,3,2,75,10,7,5
4,1,1,1,2,2,3,2,42,5,3,6
5,3,3,5,2,1,2,2,61,9,8,5
6,3,0,0,2,1,3,2,70,3,3,5
9,3,0,0,2,1,1,2,50,6,2,5
3,1,3,5,2,2,3,2,53,9,5,4
7,4,0,0,2,2,2,1,33,13,8,3
6,2,2,1,2,2,2,1,32,10,6,6
4,3,9,8,1,2,4,1,61,6,7,5
7,3,0,2,2,2,1,1,15,1,4,5
5,4,0,0,2,2,2,2,32,13,4,5
5,3,6,3,2,2,2,2,85,3,6,4
2,4,4,4,1,2,2,1,18,3,4,4
5,3,1,1,2,2,2,2,24,10,3,4
2,1,7,7,2,2,4,1,46,6,5,5
0,0,0,0,2,2,3,1,37,6,3,5
5,3,6,8,2,1,3,2,48,6,5,6
5,5,0,0,2,2,3,1,54,9,0,2
3,2,5,4,2,2,3,2,63,6,4,3
4,3,3,0,1,1,2,1,19,5,3,7
5,4,NA,NA,NA,1,NA,1,88,6,5,5
6,3,0,0,2,2,2,1,18,3,7,4
5,2,2,2,2,2,3,1,66,NA,5,2
5,5,0,0,2,1,1,2,18,3,6,6
8,5,1,1,2,1,3,2,61,6,9,5
4,3,5,5,2,1,4,2,79,2,7,5
5,3,5,2,2,2,2,2,43,10,7,8
5,2,0,0,2,2,2,1,28,8,2,4
8,1,0,0,2,2,3,1,50,12,6,10
