"respondent_id","steak_prep","hhold_income","age","smoke","alcohol"
3237565956,NA,NA,NA,NA,NA
3234982343,"Medium rare",78426,75,0,1
3234973379,"Rare",159371,72,0,1
3234972383,"Medium",76944,72,1,1
3234958833,"Medium",88376,62,0,1
3234955240,"Medium rare",16834,23,0,0
3234955097,NA,151883,83,0,1
3234955010,"Medium rare",48813,21,0,1
3234953052,"Medium",82357,19,1,1
3234951249,"Medium rare",40346,63,0,1
3234948883,"Medium rare",75576,63,0,1
3234948197,"Medium rare",87744,26,0,0
3234947477,"Medium",60960,27,0,1
3234946739,"Rare",69183,27,1,1
3234945250,"Medium Well",86158,87,0,1
3234944270,"Medium Well",42655,26,0,1
3234941615,"Medium",78626,19,0,1
3234940805,NA,21820,26,0,1
3234939289,"Medium rare",87655,24,0,1
3234938004,NA,172340,27,1,1
3234937720,"Medium rare",88787,30,0,0
3234937709,"Medium rare",30145,18,0,1
3234937003,"Medium Well",NA,NA,1,1
3234936804,"Medium rare",48416,73,0,0
3234936220,"Medium rare",17800,53,0,0
3234935763,"Medium Well",91635,19,1,1
3234935254,"Medium",48698,52,0,1
3234932801,"Medium rare",65990,60,1,1
3234931630,"Medium",43735,90,0,1
3234930461,"Medium",7057,29,0,0
3234929351,"Medium",93798,48,1,1
3234929241,NA,NA,NA,0,1
3234928903,NA,NA,41,1,1
3234928702,"Medium",72892,31,0,1
3234928649,"Medium rare",NA,72,0,0
3234928339,"Medium",NA,27,0,1
3234927960,"Well",35582,20,0,1
3234927933,NA,3006,57,0,1
3234926887,"Medium",61033,42,0,0
3234925465,"Medium",NA,42,1,1
3234925077,NA,NA,NA,0,1
3234924769,"Medium",125203,44,0,1
3234924367,NA,NA,NA,0,1
3234924090,"Medium",63365,56,0,1
3234923731,NA,24172,52,0,0
3234923656,"Medium",68629,42,0,1
3234922597,"Medium rare",21949,85,0,1
3234922412,"Medium",117027,68,0,1
3234922346,"Medium Well",75176,49,0,1
3234921417,"Medium",62838,39,1,1
3234921008,NA,43081,34,0,1
3234919737,NA,64943,20,0,1
3234918764,"Medium rare",14745,45,0,0
3234918715,"Medium Well",53590,58,0,0
3234915627,"Medium Well",NA,45,0,1
3234915418,"Medium Well",63572,74,1,1
3234914768,"Medium rare",159371,90,0,1
3234911137,"Medium",166219,49,0,1
3234911072,"Medium rare",NA,52,0,1
3234910999,"Medium",60021,74,0,1
3234910805,NA,NA,NA,NA,NA
3234910677,"Medium",6019,83,0,1
3234910265,"Medium rare",121235,21,0,0
3234908558,"Medium",NA,73,0,1
3234908311,"Medium rare",81279,73,0,1
3234908086,"Medium rare",70085,46,0,1
3234907424,"Well",159064,19,1,0
3234906252,NA,NA,NA,NA,NA
3234906064,"Medium Well",94581,80,0,0
3234905473,"Medium",97179,21,0,1
3234904710,"Medium rare",NA,60,0,1
3234900937,"Medium rare",NA,NA,0,1
3234900347,NA,88680,51,0,1
3234899967,"Medium",77198,71,0,1
3234899145,"Medium rare",22998,21,1,1
3234898344,"Rare",NA,89,0,1
3234898162,"Medium rare",NA,56,1,1
3234897200,"Medium",NA,58,0,1
3234897030,"Medium rare",131862,76,0,1
3234897017,"Medium rare",NA,47,0,1
3234896919,"Medium",NA,54,0,1
3234896600,"Medium Well",58056,35,1,1
3234896271,NA,NA,77,0,1
3234896091,"Medium rare",NA,78,0,0
3234895751,NA,132737,79,0,1
3234895207,"Medium rare",109458,50,0,1
3234894987,"Medium Well",40346,87,0,0
3234894892,"Rare",46535,39,0,1
3234894723,"Rare",NA,87,1,1
3234893756,"Medium rare",NA,26,1,1
3234893663,"Medium Well",157300,74,0,1
3234893368,"Medium",46553,21,0,1
3234893232,"Medium rare",91272,88,0,1
3234891191,NA,NA,85,0,1
3234890660,NA,69119,86,0,1
3234890248,"Medium rare",30367,81,0,1
3234889696,"Medium rare",6793,74,0,1
3234889548,"Medium rare",21949,83,1,0
3234889471,"Medium rare",NA,38,0,1
3234889313,"Medium",20642,26,0,0
3234889143,NA,NA,90,0,1
3234888994,"Medium rare",4615,20,0,1
3234888966,NA,NA,55,0,0
3234888428,"Medium Well",56831,54,0,1
3234888305,"Medium",92235,85,0,1
3234888125,"Medium Well",9,85,0,1
3234887552,NA,NA,39,0,1
3234887530,"Well",53187,53,0,0
3234887493,"Medium",28857,66,0,1
3234886754,"Medium rare",133676,49,0,1
3234886625,"Medium rare",99127,18,0,0
3234885891,NA,69468,89,0,1
3234885046,NA,96772,35,0,0
3234884675,"Medium rare",122245,49,0,1
3234884670,NA,69561,34,0,1
3234884132,"Medium",37829,80,0,1
3234883481,"Well",NA,20,0,1
3234883277,NA,11038,72,0,1
3234882939,"Medium",28064,36,0,0
3234882580,"Rare",118742,55,0,1
3234882106,"Medium Well",65224,75,0,1
3234881800,"Medium Well",26826,32,0,1
3234880920,"Medium",88269,39,0,0
3234880918,NA,NA,NA,0,1
3234880646,"Medium",136558,43,0,1
3234880264,"Medium rare",106586,35,0,1
3234879461,"Medium",NA,NA,0,1
3234879259,NA,82764,71,0,1
3234879079,NA,42887,68,0,1
3234878934,"Medium",22523,44,0,1
3234878909,"Medium",76298,37,0,1
3234878810,"Medium rare",46916,62,0,0
3234877910,"Medium Well",NA,75,0,1
3234877192,NA,43645,72,1,0
3234877084,"Medium rare",154021,72,0,1
3234876635,NA,52624,50,0,1
3234875056,"Medium Well",NA,79,0,0
3234874621,NA,93087,19,1,1
3234874602,"Medium Well",44380,84,0,1
3234874404,"Medium",155271,38,1,1
3234872996,"Medium rare",77300,50,0,1
3234872432,"Medium",5597,25,1,1
3234872191,NA,45567,73,0,0
3234871524,"Medium",42216,26,1,1
3234871363,"Medium Well",157300,67,0,1
3234871337,NA,42218,87,1,0
3234871274,"Medium",28416,41,1,1
3234871183,"Medium",193085,52,0,0
3234871078,"Medium rare",88379,45,0,0
3234870917,"Medium rare",NA,NA,0,0
3234870688,"Medium",17261,22,0,0
3234870354,"Rare",11856,66,1,0
3234870079,"Medium rare",57538,32,0,0
3234870022,"Well",28883,21,0,0
3234869539,"Medium rare",44495,19,0,1
3234869188,"Medium Well",37791,21,1,0
3234868937,"Well",67306,46,1,1
3234868550,"Medium rare",91908,29,1,1
3234867846,"Medium",70444,43,0,1
3234865587,NA,8457,20,0,0
3234864240,NA,NA,18,0,1
3234863826,"Medium",2796,73,0,1
3234863245,"Medium rare",63897,41,0,1
3234862267,"Medium rare",NA,26,0,1
3234862159,"Medium rare",NA,NA,0,1
3234861177,NA,12354,27,0,1
3234861097,"Rare",63838,21,NA,1
3234860927,"Well",NA,NA,0,1
3234860196,"Medium",151883,53,0,1
3234860125,"Medium",NA,86,0,1
3234859600,"Medium",25740,85,0,0
3234859369,"Medium rare",NA,84,0,1
3234859297,"Medium Well",89516,47,0,1
3234859155,"Medium rare",78426,28,0,0
3234858907,"Well",NA,59,0,0
3234858733,NA,20642,63,0,1
3234858232,"Well",77062,45,0,1
3234858171,"Medium",17800,85,0,0
3234858147,"Medium",81685,42,0,1
3234858015,NA,58569,85,0,0
3234858003,NA,NA,21,0,1
3234857772,"Medium rare",38433,47,1,1
3234857573,NA,176103,50,0,0
3234857554,"Well",NA,34,0,0
3234856888,"Medium Well",97887,21,0,0
3234856048,"Medium rare",NA,NA,0,1
3234855952,"Well",86158,74,0,1
3234855951,NA,53359,38,0,0
3234855780,"Medium Well",14789,19,0,0
3234855514,"Medium Well",59791,43,0,1
3234855441,"Medium Well",NA,45,0,1
3234855298,NA,195349,39,0,1
3234855107,"Well",5597,83,0,1
3234854914,"Rare",155271,30,0,1
3234853658,"Medium rare",67291,37,0,1
3234853330,"Medium",66522,29,0,1
3234853280,"Medium rare",172999,27,1,1
3234853259,"Rare",49267,62,0,1
3234853178,"Medium rare",NA,64,0,1
3234853003,"Well",117027,26,1,1
3234852897,NA,58540,88,0,0
3234852790,NA,26396,21,0,1
3234852426,NA,93798,23,0,1
3234852348,"Medium rare",34349,44,0,1
3234852078,"Medium Well",27178,45,0,1
3234851715,NA,22523,44,1,1
3234851430,"Medium rare",155794,28,0,1
3234850633,NA,68642,85,0,0
3234850595,NA,NA,NA,NA,NA
3234850216,NA,31002,26,0,1
3234850078,"Medium rare",NA,80,0,1
3234849594,NA,7092,47,0,1
3234849033,"Well",99192,37,0,1
3234848751,"Well",72242,31,0,0
3234848656,"Medium rare",95396,59,0,1
3234848624,"Medium rare",35234,44,0,1
3234848544,NA,NA,56,0,1
3234848231,"Medium rare",68629,58,0,1
3234847835,"Medium",93748,31,0,1
3234847799,"Medium",NA,47,0,0
3234847724,"Medium rare",42216,39,0,1
3234847389,"Medium",62838,29,0,1
3234847028,"Medium Well",NA,67,0,0
3234846945,"Medium rare",64943,35,0,1
3234846787,"Medium Well",12462,38,0,1
3234846522,NA,25724,36,0,1
3234846164,"Medium rare",173626,81,0,1
3234846005,"Medium",166090,60,0,1
3234845685,"Medium rare",26142,83,0,1
3234845146,"Medium Well",89169,60,0,1
3234845017,"Medium",90905,62,0,1
3234844345,NA,3227,26,0,0
3234844263,"Medium rare",97569,36,0,1
3234844257,"Well",69149,52,0,1
3234844077,"Medium",34992,51,0,0
3234843837,"Medium",79916,54,0,1
3234843826,"Medium rare",81279,46,0,1
3234843714,"Well",70085,51,0,1
3234843266,"Medium Well",9472,38,NA,0
3234843229,"Medium Well",35658,39,0,1
3234843170,"Medium rare",94581,81,0,1
3234843097,"Medium",173119,40,0,1
3234843042,"Medium Well",75446,19,0,1
3234842555,"Medium",57816,34,0,1
3234842077,"Medium Well",14471,21,0,1
3234842004,"Medium",NA,19,0,0
3234841439,NA,162270,48,0,1
3234841276,"Medium",63315,83,0,1
3234840992,"Medium rare",NA,72,0,1
3234840931,"Rare",69750,49,0,1
3234840809,"Medium rare",NA,49,0,1
3234840455,"Well",163262,52,0,0
3234840089,"Medium Well",NA,72,0,1
3234840017,"Medium rare",37154,71,0,0
3234839930,"Medium rare",NA,57,0,0
3234839875,"Medium rare",41663,39,0,1
3234839680,"Rare",93365,40,1,1
3234839467,"Medium",192231,70,0,1
3234839418,"Medium",76674,35,0,1
3234839160,"Medium",79813,38,0,1
3234839073,"Rare",56562,66,0,1
3234838884,NA,195383,60,0,1
3234838520,"Medium rare",28857,44,1,1
3234838368,"Medium rare",2796,21,1,1
3234838236,NA,91272,58,0,1
3234837889,"Medium Well",51560,31,1,1
3234837794,"Medium",30289,62,0,1
3234837477,"Medium",112714,29,1,1
3234837423,NA,97456,57,0,1
3234836798,"Medium Well",72583,36,0,1
3234836496,"Rare",101669,49,0,1
3234836354,"Medium rare",74518,59,0,1
3234835856,NA,NA,NA,NA,NA
3234835855,"Medium Well",96931,53,0,1
3234835549,"Medium Well",NA,21,0,0
3234835436,"Medium Well",26826,30,0,0
3234835019,"Medium rare",136558,21,1,1
3234835004,NA,NA,51,0,1
3234834715,"Rare",93653,68,0,1
3234834693,NA,NA,20,0,0
3234834533,NA,50528,50,0,1
3234834323,"Rare",NA,60,0,1
3234834302,"Medium",42887,58,0,1
3234834174,"Well",15838,60,0,1
3234834071,"Medium rare",96772,74,0,1
3234833617,"Medium rare",46916,26,0,1
3234833027,"Medium",69561,19,0,1
3234832934,"Medium rare",2403,44,0,1
3234832916,"Medium",23949,24,1,1
3234832790,NA,28948,54,0,0
3234832610,NA,NA,NA,0,0
3234831966,NA,NA,NA,0,0
3234831618,NA,44380,35,0,1
3234831237,"Medium rare",574,42,0,1
3234831171,"Medium",88269,21,0,0
3234830173,"Medium rare",42494,26,1,1
3234829821,NA,45567,23,0,1
3234829440,"Medium rare",96736,32,0,1
3234828861,NA,18451,19,0,1
3234828740,"Medium",42218,23,0,1
3234828284,NA,69991,33,0,0
3234828054,"Medium rare",66487,54,0,1
3234827864,"Medium",156503,34,0,1
3234827747,"Medium",130415,29,0,1
3234827738,"Medium Well",31260,29,0,1
3234827533,NA,NA,42,0,1
3234826323,"Medium rare",43215,41,0,1
3234825833,"Medium Well",157150,60,0,0
3234825540,NA,199710,22,0,0
3234824537,"Medium Well",9,26,0,1
3234824435,"Medium rare",44305,33,0,1
3234824072,"Medium rare",34992,73,0,1
3234824047,"Medium",181103,23,0,1
3234823512,"Medium rare",NA,36,1,1
3234823339,"Medium Well",93888,22,0,1
3234822951,"Medium",195383,39,0,1
3234822610,"Medium rare",35658,45,0,1
3234822589,"Medium",191847,57,0,1
3234822396,NA,186499,34,1,1
3234822326,"Medium rare",45771,36,0,1
3234822135,"Medium",NA,NA,0,1
3234821979,"Medium rare",25809,32,0,1
3234821616,NA,156738,50,0,1
3234821435,"Medium rare",127274,56,1,0
3234821322,"Medium",NA,NA,0,1
3234821230,NA,37080,50,0,1
3234821131,"Medium Well",75615,57,0,1
3234820975,"Medium rare",166219,45,0,1
3234820905,"Medium rare",NA,62,0,0
3234820540,"Medium rare",91908,31,0,0
3234820490,"Medium",70444,45,0,1
3234820423,NA,NA,NA,0,1
3234820326,"Well",61143,45,0,0
3234820022,"Medium rare",38433,40,0,1
3234819954,NA,63897,33,0,0
3234819936,"Medium",79417,41,1,1
3234819931,"Medium rare",159064,87,0,1
3234819429,"Medium",54732,39,0,1
3234818717,"Medium rare",63838,52,1,1
3234818499,"Medium",76551,29,0,1
3234818242,"Medium rare",24898,42,1,0
3234818156,"Medium",NA,46,0,0
3234818093,NA,92873,27,0,1
3234817851,"Rare",3006,31,0,0
3234817478,"Medium Well",NA,NA,0,1
3234817193,"Well",NA,37,0,0
3234817013,"Medium rare",156637,31,0,1
3234816985,NA,21696,74,0,1
3234816931,"Well",NA,24,1,1
3234816708,"Medium Well",173119,39,0,1
3234816090,"Medium",24172,60,0,1
3234816078,"Well",5739,31,1,1
3234816059,"Medium Well",NA,NA,0,1
3234815841,"Medium rare",86232,67,0,0
3234815624,"Medium rare",75576,88,0,0
3234815497,"Medium rare",NA,NA,1,1
3234815420,"Medium rare",NA,NA,0,1
3234815283,"Medium Well",22523,58,0,1
3234815142,"Well",86158,56,0,1
3234815061,"Medium rare",15838,83,0,1
3234814864,"Medium rare",NA,69,0,1
3234814771,"Medium",38585,62,1,1
3234814651,"Medium rare",87655,90,1,1
3234814352,"Medium Well",193085,53,0,1
3234814278,"Medium Well",7092,21,0,1
3234814222,"Medium Well",95311,78,0,0
3234813881,NA,67291,58,0,1
3234813690,"Medium",155734,60,0,1
3234813682,"Medium",9489,19,0,1
3234813465,"Medium",195383,60,0,1
3234813345,"Medium rare",90354,66,0,1
3234813021,NA,65990,38,0,1
3234812630,"Well",NA,39,0,1
3234811984,"Medium rare",NA,52,1,1
3234811839,"Medium rare",93798,74,0,0
3234811715,"Medium rare",NA,61,0,0
3234810955,"Medium",NA,NA,0,1
3234810697,"Medium",25724,51,1,1
3234810549,"Medium rare",27881,35,0,0
3234810109,"Medium rare",68642,72,0,1
3234809084,"Medium",6696,49,0,1
3234808864,NA,NA,38,0,1
3234808857,"Medium rare",NA,NA,0,1
3234808432,"Medium",88051,38,0,1
3234807851,"Medium Well",28883,36,0,1
3234807795,"Medium",69149,32,0,1
3234807540,"Medium rare",125094,48,0,1
3234807362,"Medium",63365,70,0,0
3234807325,"Medium rare",132737,39,0,1
3234807193,"Medium rare",NA,49,0,1
3234806468,NA,159064,49,0,1
3234805307,"Medium Well",65214,21,0,1
3234805086,"Medium Well",NA,NA,0,1
3234804543,NA,16043,28,0,1
3234804474,"Rare",83400,57,0,0
3234804414,"Medium Well",46535,44,0,1
3234803960,"Medium",64573,37,0,0
3234803833,"Medium rare",123351,50,0,1
3234803688,"Medium Well",97592,31,0,1
3234803552,"Medium",46553,35,0,1
3234803528,"Well",NA,84,0,1
3234803474,"Medium",189968,76,0,1
3234803379,"Medium",90905,63,0,1
3234802862,NA,NA,24,0,0
3234802714,"Medium rare",97569,73,0,1
3234802671,"Medium",78943,69,0,1
3234802032,"Medium rare",83145,51,0,1
3234801990,NA,195349,43,0,1
3234801820,"Medium Well",81279,90,0,1
3234801517,"Medium Well",38433,40,1,1
3234801446,"Medium",86697,49,1,1
3234800702,"Medium rare",74999,59,0,1
3234799491,NA,94581,45,0,1
3234799316,"Medium",163262,38,0,1
3234798959,NA,19463,36,0,0
3234798094,"Medium",57816,50,0,1
3234797602,"Medium rare",NA,73,0,0
3234797258,"Medium rare",44013,18,0,0
3234797221,NA,67308,46,0,0
3234796655,NA,NA,58,0,1
3234796591,"Medium rare",74128,87,0,0
3234796064,NA,NA,90,0,1
3234796052,"Well",NA,32,0,0
3234795992,"Medium rare",77429,73,0,1
3234794766,"Medium",96407,82,0,1
3234794417,"Medium rare",58056,20,1,1
3234794335,NA,28064,28,0,0
3234794312,"Well",77759,36,0,1
3234793325,NA,93365,41,0,0
3234793110,"Medium",NA,NA,0,1
3234793032,"Medium Well",5819,23,1,1
3234793005,"Medium Well",49109,57,0,1
3234792864,"Well",56562,85,0,1
3234792668,"Medium Well",NA,24,0,1
3234791290,"Medium",NA,20,0,0
3234791203,"Medium rare",83722,34,1,1
3234791193,"Medium rare",10318,46,0,1
3234791190,"Well",NA,42,0,1
3234790735,"Medium",151883,49,0,1
3234790686,"Medium rare",2403,20,0,1
3234789421,"Well",NA,54,0,1
3234789415,"Well",164541,54,0,1
3234789350,"Medium rare",60555,34,0,1
3234789316,NA,74518,67,0,0
3234789070,"Medium rare",50418,69,0,1
3234789052,"Rare",96931,45,0,1
3234788903,"Medium rare",93748,52,1,1
3234788829,"Rare",NA,NA,1,1
3234787811,"Medium rare",NA,NA,0,1
3234787566,"Medium rare",60825,34,0,1
3234787469,"Medium rare",96253,37,0,1
3234787056,"Medium",NA,68,0,1
3234787013,"Medium",12462,47,0,0
3234786675,"Medium Well",5739,69,1,1
3234786242,NA,156637,59,0,1
3234786043,"Medium rare",130415,45,0,1
3234785906,"Medium rare",6696,45,0,1
3234785679,"Medium",68719,73,0,0
3234785579,"Medium rare",31260,24,0,0
3234785571,"Medium",51870,48,0,0
3234785120,"Rare",43215,20,1,1
3234785058,"Medium rare",69149,30,1,1
3234785000,"Medium",125094,31,0,1
3234784794,"Medium",NA,56,0,0
3234784700,"Medium rare",65224,89,0,1
3234784673,"Rare",79649,19,0,1
3234783141,"Medium",88269,40,0,1
3234782874,"Medium",NA,45,NA,0
3234782863,"Medium rare",14320,49,1,0
3234782700,"Medium rare",157150,57,0,1
3234782381,NA,35658,29,1,1
3234782029,"Medium",12354,25,0,1
3234781892,"Medium rare",NA,45,0,1
3234781837,NA,35350,42,0,1
3234781654,"Medium rare",44871,45,0,0
3234781534,"Medium rare",25809,27,0,0
3234781338,NA,NA,NA,NA,NA
3234780977,"Medium rare",NA,35,1,1
3234780665,"Medium",76205,37,0,1
3234780649,"Medium",37080,21,0,1
3234780238,"Medium rare",NA,35,0,1
3234779739,NA,34777,46,0,1
3234779450,"Medium",22998,29,1,1
3234779361,"Medium Well",56831,74,0,0
3234778878,"Medium rare",77300,31,1,1
3234778653,"Medium",38433,46,1,1
3234778651,"Rare",152225,85,0,1
3234778457,NA,44822,34,0,1
3234778299,"Medium Well",159371,57,0,1
3234778259,"Medium",NA,20,0,1
3234778201,"Medium Well",68470,18,0,1
3234778061,"Medium Well",NA,47,0,1
3234777834,NA,151883,36,0,1
3234777660,"Medium",9472,26,0,1
3234777247,"Medium",14789,59,0,1
3234776895,"Medium rare",16043,50,0,0
3234776815,"Medium",173626,56,1,1
3234776702,"Medium rare",98150,85,0,0
3234775831,"Well",101669,85,0,1
3234775816,"Medium Well",40008,47,1,0
3234775647,NA,NA,NA,NA,NA
3234775250,NA,NA,21,0,1
3234775052,"Medium rare",23098,21,1,1
3234775020,NA,56282,76,1,1
3234774687,"Medium rare",34829,22,0,1
3234774532,NA,98561,50,0,0
3234774379,"Medium rare",NA,61,0,1
3234774218,"Medium rare",79417,40,0,1
3234774090,NA,NA,NA,NA,NA
3234773444,"Medium rare",54732,34,0,0
3234773000,"Medium Well",NA,NA,0,1
3234772936,"Medium",56286,69,0,1
3234772571,"Medium rare",NA,48,1,1
3234772281,"Medium rare",124010,34,0,1
3234771955,"Medium",92873,72,0,0
3234771796,NA,2403,26,0,0
3234771246,"Medium Well",89516,38,0,1
3234770901,"Medium",155271,51,0,1
3234770881,NA,NA,NA,NA,NA
3234770752,"Well",76944,46,NA,0
3234769753,"Medium",88376,32,0,1
3234769677,"Medium Well",9489,39,0,0
3234768724,NA,NA,28,0,1
3234768304,NA,58569,43,0,1
3234768064,"Medium rare",95814,35,0,1
3234767721,"Medium",86232,38,1,1
3234767012,"Well",2031,34,0,1
3234766450,NA,21820,35,1,1
3234766329,NA,42216,44,1,0
3234766097,"Well",NA,37,0,0
3234765812,"Medium Well",155794,83,0,1
3234765572,NA,19392,31,1,1
3234765401,NA,33679,50,0,0
3234764807,"Medium rare",191847,63,0,1
3234764452,"Medium Well",131862,57,1,1
3234764154,"Medium rare",NA,53,0,1
3234764079,NA,88787,58,0,1
3234764005,"Medium rare",95311,28,1,1
3234763723,"Medium",125094,38,0,1
3234763650,NA,8457,55,0,0
3234763171,"Medium",NA,68,0,1
3234762715,NA,91635,20,0,0
3234762638,"Medium rare",90354,87,0,1
3234761879,"Medium Well",87744,70,0,1
3234761877,"Medium Well",58540,39,0,0
3234761827,"Medium rare",34675,22,0,0
3234761718,NA,93798,74,0,1
3234761071,"Medium rare",69974,36,1,1
3234760930,NA,70905,57,0,1
3234760413,"Medium",5597,20,1,1
